OTUId	CM30b51-B	CM30b51-M	CM30b58-C	CM30b58-I	CM30b60-E	CM30b60-M	CM30c-O	CM30c-P	CM30c28-N	CM30c28-P	CM30c30-L	CM30c30-N	CM30c35-B	CM30c35-D	CM30c37-E	CM30c37-L	CM30c39-A	CM30c39-E	CM30c44-B	CM30c44-C	CM30c46-D	CM30c46-O	CM30c51-H	CM30c51-I	CM30c53-B	CM30c53-I	CM30c60-A	CM30c60-B	CM30c62-D	CM30c62-M	CM30d12-H	CM30d12-L	CM30d3-D	CM30d3-L	CM31a5-A	CM31a5-B	LB1-A	LB1-E	LB5-A	LB5-I	Plot1-B	Plot1-L	Plot2-C	Plot2-M	Plot3-H	Plot3-N	Plot4-A	Plot4-N	Plot5-I	Plot5-N	Plot6-I	Plot6-N	Plot7-M	Plot7-N	Plot8-I	Plot8-O
OTU_4443;size=149;	0	0	0	26	1	84	0	0	0	2	0	1	0	0	0	0	7	2709	0	0	0	0	0	0	0	0	4986	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
OTU_6740;size=1;	0	0	0	0	1	103	0	1	1	0	0	0	0	0	0	0	9	3338	0	0	0	0	0	0	0	0	5723	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_9300;size=4;	10	1	5	14	7	8	809	10	13	202	1	4	8	1	6	2	4	0	3	0	1	3	21	3	19	8	997	15	4	79	46	38	15	21	148	2593	1	12	2	3	13	7	6	24	10	5	6	4	5	4	1	0	0	4	3	19
OTU_9361;size=3;	0	0	0	0	1	3	0	16	0	1	1	0	0	0	0	0	0	49	0	0	0	0	0	0	2114	66	101	1	0	823	0	1	0	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4448;size=3;	65	21	12	8	1	104	0	53	65	28	0	0	0	0	0	19	0	0	0	0	14	2	10	71	29	0	159	3	29	4	6	9	0	92	77	1	0	9	0	0	90	0	0	20	0	25	0	2	0	2	0	0	0	0	53	63
OTU_2915;size=5211;	48	11	146	1	99	84	0	45	143	6	25	989	37	83	276	110	61	41	38	49	119	434	157	274	39	13	358	2219	150	372	61	183	98	518	24	244	39	2483	110	2316	5	0	478	32	41	0	7	8	8	33	468	681	89	295	511	146
OTU_11653;size=1;	33	0	0	1	110	0	0	0	0	0	0	0	0	0	1	0	0	0	23	30	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	49	134	25	0	0
OTU_8;size=69403;	507	5	495	0	2210	470	0	2	649	16	200	341	323	740	1153	104	1360	19	376	883	21	312	1508	416	724	233	78	453	67	135	16	636	1127	573	224	23	886	1884	1594	1051	4	0	46	76	709	2	69	193	14	959	85	3583	1225	3946	284	162
OTU_4239;size=1127;	3	11	15	6	5	15	0	4	41	26	33	20	2	6	29	19	0	4	0	0	3	0	5	1	141	96	1093	846	4	2	5	2	1	30	0	17	6	15	4	15	1	1	0	10	1	4	2	14	2	0	35	0	0	3	33	1
OTU_24;size=5134;	30	0	37	1	0	7	1	12	0	0	0	0	526	369	89	3	80	72	70	52	0	6	173	32	0	0	189	3	0	0	15	3	13	2	1	3	3	0	0	0	18	0	32	12	80	10	6	0	567	371	102	66	154	1137	3	455
