OTUId	CM30b51-B	CM30b51-M	CM30b58-C	CM30b58-I	CM30b60-E	CM30b60-M	CM30c-O	CM30c-P	CM30c28-N	CM30c28-P	CM30c30-L	CM30c30-N	CM30c35-B	CM30c35-D	CM30c37-E	CM30c37-L	CM30c39-A	CM30c39-E	CM30c44-B	CM30c44-C	CM30c46-D	CM30c46-O	CM30c51-H	CM30c51-I	CM30c53-B	CM30c53-I	CM30c60-A	CM30c60-B	CM30c62-D	CM30c62-M	CM30d12-H	CM30d12-L	CM30d3-D	CM30d3-L	CM31a5-A	CM31a5-B	LB1-A	LB1-E	LB5-A	LB5-I	Plot1-B	Plot1-L	Plot2-C	Plot2-M	Plot3-H	Plot3-N	Plot4-A	Plot4-N	Plot5-I	Plot5-N	Plot6-I	Plot6-N	Plot7-M	Plot7-N	Plot8-I	Plot8-O
OTU_4;size=35877;	1659	149	835	196	2132	817	2	53	2	1	103	202	0	2	1992	79	1049	109	796	1030	4	24	30	4	1	4	101	317	6	92	2128	860	486	137	937	539	209	773	369	2106	1	10	180	28	345	1	8	353	2	451	524	464	2077	2716	372	524
OTU_5765;size=5;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_34;size=9366;	15	8	26	107	87	200	4	84	2	3	159	40	41	146	54	30	11	6	17	136	35	3	14	10	38	256	456	63	45	471	73	68	95	606	35	2	92	97	1534	337	18	5	25	7	37	4	198	129	73	102	50	311	54	39	61	141
OTU_6286;size=22;	52	0	15	0	1	43	0	0	0	0	0	0	0	0	47	3	3	13	18	8	0	0	410	120	1	2	513	261	0	0	0	5	1	0	0	0	0	4	0	1	0	0	0	0	0	0	67	0	0	2	0	0	0	3	1	0
OTU_11493;size=39;	168	72	716	69	4830	111	76	111	69	136	59	27	1053	445	1715	1187	4	115	29	31	2	9	24	30	140	130	1529	867	137	140	222	119	59	183	5	294	4	117	115	222	23	20	17	52	123	80	103	97	523	51	1739	37	117	93	1203	110
OTU_4466;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8440;size=10;	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	2	2	0	0
OTU_9530;size=2;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_44;size=1904;	0	26	10	39	2	10	34	23	35	0	149	10	0	0	10	29	31	0	0	0	165	84	0	0	1	0	18	0	0	0	2	7	70	172	0	0	31	48	214	159	0	0	73	0	20	0	87	0	3	2	10	25	90	50	117	46
OTU_5016;size=1433;	11	3	6	90	6	9	477	85	63	60	0	1	13	6	14	3	2	1	2	2	2	2	41	13	27	12	6	20	61	19	1	6	20	17	232	69	6	4	2	28	21	21	4	6	13	3	151	14	39	11	6	31	19	8	3	16
OTU_4453;size=2;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32;size=3683;	47	61	141	52	54	13	11	51	18	31	2	40	127	126	211	58	21	13	27	44	47	17	82	29	10	8	14	33	19	49	36	92	298	159	101	160	20	166	4	94	5	6	31	62	93	18	44	83	112	133	84	100	69	115	55	80
OTU_4375;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_343;size=1032;	19	2	4	3	9	3	0	3	2	5	6	5	1	5	10	4	11	3	6	1	3	3	6	2	6	6	11	19	0	11	5	6	65	15	6	3	3	20	8	27	16	5	6	10	8	15	45	19	11	6	11	23	16	7	1	24
OTU_1;size=84300;	1187	461	592	914	1153	501	504	633	1820	1252	36	229	8703	1561	417	213	699	385	853	1147	105	104	613	1150	2274	2815	834	2880	208	1829	2148	690	1445	1862	648	103	321	877	146	1155	2804	2465	630	2919	3174	3123	1093	675	2923	309	1002	3256	1668	3234	596	2329
OTU_4445;size=155;	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	269	0	0	0	0	0	0	0	0	478	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3642;size=7;	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_362;size=401;	0	1	0	1	0	0	0	0	2	4	1	3	6	0	0	5	0	2	0	2	0	12	0	0	4	4	3	1	1	0	3	3	1	36	0	1	8	14	2	10	0	0	0	2	11	2	17	2	0	2	1	0	0	0	5	28
OTU_736;size=180;	6	0	3	1	0	2	0	0	4	0	3	2	6	0	2	3	1	1	2	0	2	10	4	1	0	1	1	1	0	1	3	9	18	11	4	0	9	23	7	19	0	1	1	1	0	0	0	2	1	5	3	10	4	0	0	1
OTU_4468;size=1;	0	0	11	0	0	72	0	14	0	0	0	0	0	0	38	0	8	91	0	12	0	0	0	0	0	0	44	3	1	0	268	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	33	2	0	9	0	0
OTU_8976;size=2;	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	1	0	0
OTU_4465;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10688;size=1;	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	2	0	0	0	0	2	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2447;size=232;	2	0	0	0	0	0	0	16	0	0	0	2	0	2	0	1	0	0	2	1	0	0	2	2	1	1	4	3	0	0	4	0	4	1	0	0	1	0	0	1	147	35	6	0	0	0	1	2	0	1	0	6	0	0	0	0
OTU_8522;size=1;	5	4	19	18	48	75	6	0	0	2	0	1	20	2	37	1	3	2	13	136	0	0	13	0	1	2	244	16	5	20	2	33	7	22	0	0	11	28	3	83	4	2	0	4	1	0	73	35	3	5	9	1	44	25	1	73
OTU_21;size=14091;	438	8	15	15	1787	691	0	4	0	17	10	1	88	418	29	148	289	0	58	31	3	56	163	296	90	83	27	72	97	228	18	114	253	279	1	0	16	131	1476	59	11	45	1	144	260	17	75	56	148	591	68	675	27	68	8	12
OTU_3536;size=100;	3	0	1	1	6	0	0	0	0	0	2	3	0	0	3	0	0	0	11	18	0	0	2	1	0	0	3	4	0	0	0	2	12	0	0	0	15	2	7	3	0	0	0	0	1	0	1	0	0	0	1	3	8	145	1	0
OTU_6879;size=1;	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1197;size=1500;	9	0	120	1	0	124	0	0	0	1	1	1	17	0	327	7	0	3	0	0	0	0	3	0	0	0	235	0	1	84	0	182	27	898	0	0	1	0	0	0	0	0	0	5	36	0	0	15	1	41	8	1	113	71	0	133
OTU_4208;size=29;	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	21	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8803;size=1;	1	295	0	0	12	15	0	0	0	0	3	475	0	1	0	30	4	0	0	10	183	132	0	2	179	202	17	677	2	93	301	376	0	1	0	0	3	269	4	112	0	0	0	10	0	8	227	210	2	0	5	107	20	11	129	10
OTU_201;size=2043;	26	1	35	3	8	23	1	6	0	0	15	63	7	10	21	32	2	0	14	7	0	7	15	3	0	0	14	6	2	0	4	3	52	20	4	6	17	117	11	8	340	52	14	21	67	2	9	0	8	27	21	40	7	4	7	65
OTU_87;size=1043;	1	11	2	14	1	2	20	52	7	3	0	3	94	32	4	2	0	3	0	1	1	0	18	8	6	7	8	9	15	36	21	9	9	39	48	13	0	6	1	2	3	4	14	104	13	16	31	25	38	12	14	6	4	5	18	16
OTU_20;size=5932;	820	519	30	380	16	4	3	8	11	0	3	9	1	1	75	2	1	306	0	4	0	7	18	1	0	0	85	11	306	157	263	66	2	0	0	0	247	466	12	35	1	0	31	24	686	44	0	0	292	66	0	1	0	0	177	681
OTU_14;size=7896;	30	0	67	45	171	202	27	71	10	50	5	16	16	12	171	34	24	69	9	110	1	28	136	53	56	89	63	400	54	139	66	216	67	30	77	44	10	46	9	53	70	33	172	33	1754	84	35	406	131	246	166	41	39	25	262	1512
OTU_5883;size=2;	3	1	0	0	0	0	0	3	3	0	2	0	0	2	0	5	0	1	0	0	0	0	0	0	2	6	8	2	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	1	3	6	0	0	21	0	0	0	0	1
OTU_741;size=104;	2	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	3	0	2	6	0	0	0	0	0	0	1	0	0	0	4	2	17	0	0	2	0	1	0	0	0	0
OTU_10254;size=56;	7	4	24	5	8	20	1	33	35	4	13	0	8	3	45	4	2	10	13	8	1	0	17	22	13	9	58	52	5	54	5	4	8	20	2	8	6	13	4	18	12	8	28	17	23	12	61	9	18	21	14	22	1	24	26	9
OTU_461;size=204;	3	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	11	0	2	23	0	0	0	0	0	0	2	0	0	26	1	4	5	0	0	0	0	0	0	7	3	1	0	3	0	0	5	1	0	32	0	0	59	3	5	0
OTU_107;size=720;	0	0	1	0	0	0	5	1	1	0	0	0	28	14	0	0	0	0	0	0	0	0	40	8	2	0	16	45	30	97	0	0	1	0	12	9	0	0	0	0	129	65	8	38	0	1	12	1	9	6	18	12	0	0	0	0
OTU_28;size=13298;	51	11	20	44	103	62	13	19	5	28	7	12	64	62	49	76	55	11	23	61	0	5	42	76	34	55	69	182	16	183	17	39	81	120	35	128	5	56	28	558	92	33	31	64	98	103	196	89	15	22	65	103	24	25	67	87
OTU_10261;size=1;	0	0	8	1	0	0	0	0	0	0	0	0	0	0	26	4	1	10	5	1	0	0	0	0	0	0	5	0	0	0	1	17	54	3	0	0	0	0	117	10	0	0	0	0	6	1	1	0	2	4	19	68	22	2	0	3
OTU_597;size=131;	1	0	4	0	27	5	0	0	0	2	0	1	0	2	4	0	2	0	3	14	1	0	0	0	0	2	8	1	0	0	0	0	0	27	0	0	0	4	0	1	7	3	0	0	3	0	2	1	2	0	2	3	4	4	4	0
OTU_5984;size=128;	2	1	2	14	14	9	8	11	10	0	16	1	5	20	10	14	0	12	0	0	1	0	0	0	4	3	136	42	9	5	4	12	1	4	1	3	1	2	6	9	0	0	10	12	2	3	1	2	3	1	15	1	3	5	27	1
OTU_6587;size=16;	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	1	0	0	0	2	0	5	1	0	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	4	1	0
OTU_971;size=72;	3	2	1	1	1	0	0	0	0	0	3	1	0	0	3	4	0	0	0	0	1	7	0	0	0	0	21	0	0	0	0	3	4	2	0	0	1	8	0	4	1	1	2	0	20	0	0	0	3	5	7	34	1	4	0	2
OTU_7296;size=1;	9	0	12	1	126	38	0	1	0	0	0	0	9	4	20	68	16	0	0	4	1	22	4	0	2	0	5	15	0	6	0	36	29	42	0	0	2	10	0	1	0	0	0	20	12	0	1	0	14	20	18	116	16	21	0	29
OTU_243;size=272;	0	135	0	3	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	33	6	0	1	0	15	21	10	11	0	0	17
OTU_8880;size=1;	14	3	101	0	49	195	3	13	7	8	2	3	17	86	185	86	177	16	0	3	1	4	8	1	244	48	55	65	75	68	14	208	45	288	16	18	21	57	18	8	0	0	0	68	86	0	0	30	31	239	2	375	98	202	16	29
OTU_683;size=128;	0	0	3	3	0	0	0	0	0	0	0	1	0	2	6	0	1	0	0	2	0	1	4	3	0	1	4	0	0	0	1	4	12	2	2	0	0	2	5	3	0	0	0	0	1	0	0	0	0	1	0	0	3	1	1	4
OTU_4455;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5956;size=22;	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_78;size=2030;	5	0	17	73	5	2	17	24	0	1	0	37	47	197	5	7	0	0	7	9	0	104	11	5	5	11	29	23	16	201	3	2	1	0	5	11	0	2	5	10	98	9	1	95	42	260	331	93	10	85	22	57	1	3	12	12
OTU_4416;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_500;size=92;	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	18	5	0	0	4	3	0	0	0	0	16	0	0	0	0	0	0	0	5	3	0	0	5	0	0	0	1	8	0	2	10	5	0	0
OTU_4278;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17;size=13248;	6	68	50	8	15	213	82	113	239	414	498	39	480	152	30	24	252	187	51	45	193	487	0	1	339	44	9	30	205	59	381	222	337	905	105	249	101	55	1115	703	78	0	386	217	260	519	114	177	197	4	72	5	170	170	33	908
OTU_117;size=2606;	8	39	1	87	2	47	77	174	55	118	17	14	87	1	7	6	1	0	3	2	14	7	8	5	199	66	2	344	3	19	5	32	112	22	57	37	46	4	0	110	10	18	0	19	96	12	28	40	10	15	4	44	2	41	31	5
OTU_76;size=1332;	2	22	6	3	6	2	3	11	10	76	0	5	13	11	0	0	1	4	0	0	4	5	2	9	36	25	7	417	4	5	33	16	18	6	24	19	4	16	1	11	1	0	1	20	0	34	5	7	15	3	7	4	2	0	13	22
OTU_2532;size=31;	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	3	1	4	0	0	0	2	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	2	6	0	9
OTU_112;size=1230;	22	10	17	12	2	0	5	17	27	28	54	38	38	23	12	7	3	2	3	2	2	45	14	10	24	8	7	50	11	12	15	29	41	33	24	16	32	34	109	51	4	2	20	29	31	15	14	16	38	42	16	22	28	23	12	29
OTU_6723;size=65;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	62	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1442;size=217;	0	10	0	5	0	0	1	0	6	142	2	0	0	0	0	6	0	0	0	0	0	0	0	0	15	9	10	1	0	0	5	0	3	1	0	0	0	13	0	0	0	0	0	0	8	0	0	0	0	4	0	4	0	0	0	1
OTU_91;size=2654;	0	0	2	0	6	5	4	7	6	4	2	3	77	0	6	2	5	4	0	0	1	1	2	3	19	1	15	7	61	28	2	4	0	0	1	1	0	0	0	2	7	0	3	658	3	18	1	1	51	5	0	1	4	3	30	35
OTU_211;size=418;	1	16	1	5	24	26	1	4	0	4	0	0	4	2	0	1	0	7	0	0	0	0	0	0	0	1	38	9	0	0	3	9	2	0	0	0	0	0	0	0	0	0	0	0	42	42	0	0	27	9	12	2	0	0	15	15
OTU_4263;size=15;	11	0	1	0	3	7	0	0	0	0	1	0	0	0	6	1	0	1	6	0	1	0	65	15	0	0	94	45	0	0	0	0	0	0	0	0	31	0	1	2	0	0	0	0	0	0	9	1	0	0	1	1	1	1	0	0
OTU_214;size=423;	2	1	2	2	3	2	4	5	6	12	2	1	2	0	4	3	0	0	1	1	1	3	8	1	0	0	2	5	0	6	2	6	2	8	8	51	0	9	2	2	2	1	1	10	7	8	99	23	2	6	2	1	0	2	7	2
OTU_1336;size=76;	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	29	11	0	0	5	0	0	1	0	0
OTU_341;size=164;	0	0	0	0	1	2	1	8	1	0	0	0	29	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	8	2	0	3	0	2	0	0	12	31	1	14	0	0	2	8	5	2	10	5	1	10
OTU_4373;size=1375;	0	0	0	1	0	3	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	35	0	2	0	0	0	1	0	1	0	0	2	1	0	0	2	0	3	0	1	0	0	1	0	0
OTU_4464;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11057;size=1;	51	0	109	1	605	49	0	41	1	6	0	124	0	0	285	71	86	139	0	1	1	0	40	262	1	0	37	608	633	8	1	117	0	11	19	1026	14	274	10	535	4	0	102	12	16	1	0	0	1	207	16	119	207	661	335	13
OTU_242;size=701;	38	2	7	1	22	10	0	4	2	22	3	1	28	6	13	3	14	0	19	16	1	4	2	5	5	6	6	10	1	9	2	5	19	20	10	1	1	10	25	5	9	6	2	1	6	1	46	13	16	43	2	60	65	63	2	13
OTU_1118;size=34;	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	4	0	0	0	1	0	7	0	0	0	0
OTU_4203;size=602;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_156;size=525;	35	24	7	0	7	0	0	1	28	49	0	0	0	0	15	1	2	0	1	38	11	2	37	17	15	42	13	36	0	0	21	6	17	7	0	3	0	6	9	23	2	0	6	0	0	14	0	0	0	0	2	5	10	4	2	6
OTU_4109;size=5;	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0
OTU_726;size=86;	6	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	6	0	0	0	0	0	10	4	0	0	0	2	0	3	0	0	2	1	0	0	33	4	0	0	0	0	0	1	0	2
OTU_3851;size=560;	0	0	0	1	10	3	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	1	0	10	1	0	0	0	11	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_6631;size=314;	88	2	47	28	23	7	4	6	12	28	19	4	3	9	148	39	4	19	14	52	1	4	5	38	13	3	132	74	10	458	39	15	2	12	1	9	62	23	10	47	5	1	40	29	66	18	5	11	20	9	19	2	91	391	72	40
OTU_9241;size=7;	20	6	64	5	54	23	1	47	0	2	2	67	0	0	118	116	69	163	0	8	0	0	172	460	49	54	48	1079	606	6	1	94	1	135	17	896	1	214	4	276	1	0	95	69	17	1	11	14	4	24	14	58	5	14	10	14
OTU_7667;size=1;	0	0	0	1	3	3	0	0	0	0	2	0	0	28	0	0	0	0	4	1	0	1	0	0	0	0	2	0	0	0	0	1	25	8	0	0	10	9	5	1	72	32	0	0	13	0	0	0	0	1	7	0	0	1	1	8
OTU_4471;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4172;size=4;	3	1	3	6	11	5	4	2	7	5	0	1	45	6	2	3	2	3	5	8	0	1	1	12	17	18	5	10	0	15	8	9	9	15	6	1	1	2	0	5	16	13	9	20	11	22	3	2	17	3	5	18	6	10	1	11
OTU_7079;size=2;	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
OTU_4467;size=4;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_11100;size=1;	10	0	43	2	139	39	11	36	10	2	10	1	0	0	95	2	13	6	23	98	0	2	8	0	0	0	72	46	56	270	32	8	0	0	0	0	26	0	34	46	1	0	8	181	119	0	1	13	374	40	0	0	6	2	199	554
OTU_5106;size=25;	171	152	18	8	21	11	8	24	24	45	7	4	137	64	16	11	4	1	5	3	4	100	24	7	61	59	53	97	12	170	57	44	137	9	1	0	38	16	48	150	0	0	7	43	135	64	1572	34	25	87	65	95	82	9	12	36
OTU_7808;size=22;	11	3	5	5	4	0	117	5	48	102	1	2	3	0	2	9	2	2	7	8	0	0	5	0	3	3	27	9	72	92	0	2	4	1	13	0	2	7	6	19	8	4	3	1	0	88	40	19	8	0	4	14	2	9	8	0
OTU_8189;size=1;	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	39
OTU_560;size=77;	0	0	0	0	5	3	0	0	0	0	0	0	0	2	1	0	1	0	0	4	0	0	0	0	0	0	7	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	14	4	3	4	5	0	0
OTU_2838;size=551;	1	0	3	0	7	0	0	1	0	0	4	2	1	1	2	0	1	0	12	27	1	1	28	15	4	6	50	43	0	27	0	2	5	1	0	0	5	1889	8	4	0	0	0	2	0	0	6	0	0	2	0	8	1	7	0	0
OTU_4216;size=407;	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	34	0	0	0	0	0	0	1	0	47	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_9393;size=3;	0	0	0	1	1	0	0	0	0	1	0	0	8	2	0	0	0	0	1	0	0	0	0	0	2	3	1	2	0	2	1	0	4	2	0	0	0	0	0	2	1	3	1	3	0	5	3	0	2	0	1	0	7	0	1	2
OTU_1471;size=67;	4	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	2	10	0	0	2	4	0	0	1	2	1	1	0	0	2	0	1	0	0	2	0	0	8	2	0	0	2	0	3	0	0	0	0	3	0	1	1	0
