,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706087.19458,91,6,361,1035,828,1058,18,6,2866,581,244,615,351,434,403,831,140,627,30,318
SRR1706072.4026,2090,722,545,2487,2990,1975,1697,155,2695,2214,525,1455,1352,2150,1751,829,0,1846,2,115
SRR1706107.16107,66,13,377,415,214,427,122,109,1699,178,89,432,129,430,427,744,781,423,907,797
SRR1706102.11620,41,10,324,2997,1998,2084,28,1,1666,354,51,271,200,343,1254,931,25,1148,13,157
SRR1706047.7635,637,504,283,471,257,234,1204,619,738,274,202,192,128,353,536,338,238,193,206,554
SRR1706127.17913,506,43,454,680,432,404,74,37,1960,232,233,384,110,281,247,725,866,464,440,464
SRR1706032.3293,1469,95,385,1049,1452,421,53,16,422,763,749,590,682,808,800,484,235,902,223,385
SRR1706057.8808,174,6,255,472,243,354,17,29,866,119,32,112,32,193,129,486,497,266,221,210
SRR1706067.15065,0,0,144,72,97,95,27,58,756,74,98,148,169,365,149,232,490,215,224,529
SRR1706082.19025,0,1,546,674,516,626,34,90,2497,192,261,556,187,572,455,1075,1249,604,422,686
SRR1706052.31053,0,3,307,178,233,163,18,30,513,115,177,222,229,402,331,526,442,298,246,309
SRR1706042.8735,0,13,287,387,438,319,14,4,487,326,260,384,1069,1107,1037,592,87,256,85,300
SRR1706042.32389,12,4,758,977,941,262,59,37,1043,405,292,397,479,700,991,1092,793,798,723,1367
SRR1706087.25600,140,28,190,220,279,270,59,104,890,182,233,154,122,492,706,442,296,271,179,432
SRR1706097.59211,115,2,345,115,192,181,23,95,407,26,32,213,69,333,507,445,785,317,234,742
SRR1706097.17054,1213,1210,184,93,171,44,1018,312,400,312,363,194,618,609,524,180,8,106,30,253
SRR1706072.78441,0,56,247,183,274,206,51,44,877,125,220,150,101,118,171,306,283,196,194,368
SRR1706102.42435,1576,235,249,372,301,337,209,66,347,187,109,181,167,535,996,396,137,221,81,484
SRR1706117.40827,0,1,373,330,184,164,38,65,1010,74,127,111,34,165,124,637,1090,316,555,488
SRR1706112.19443,0,4,83,39,102,53,61,84,595,97,129,65,16,105,66,221,227,204,81,317
SRR1706082.39596,1218,365,8,17,22,28,338,82,419,96,241,65,185,198,62,6,2,20,3,61
SRR1706087.36119,0,31,19,116,63,17,657,285,297,421,116,71,148,403,85,0,0,54,1,47
SRR1706097.53352,0,40,35,33,42,13,73,70,408,61,59,26,34,57,29,69,93,61,245,267
SRR1706087.27271,0,8,338,167,343,205,7,52,560,92,161,237,95,192,106,393,214,434,75,146
SRR1706072.36308,472,103,22,17,57,17,424,237,351,66,178,50,69,113,138,86,60,61,92,169
SRR1706097.12758,1,7,36,13,19,32,12,2,537,7,9,81,2,57,169,137,111,89,49,104
SRR1706072.35416,322,231,344,341,651,248,49,24,263,447,568,320,446,400,464,210,16,428,21,127
SRR1706042.11293,0,88,104,118,109,22,46,29,88,53,54,87,247,483,725,113,0,90,1,35
SRR1706072.78717,0,3,46,255,81,169,23,3,500,14,16,74,15,25,275,96,23,59,5,122
SRR1706087.10515,0,20,211,68,158,116,71,32,664,69,140,196,48,175,165,241,262,288,59,134
SRR1706032.2455,674,40,19,19,55,39,3,2,265,111,204,65,50,96,44,46,4,43,39,16
SRR1706097.23316,0,0,65,3,2,3,0,0,21,12,6,17,14,181,34,56,38,26,47,394
SRR1706092.32074,0,0,120,21,106,173,5,16,708,44,53,202,28,104,278,166,247,247,73,254
SRR1706062.31989,646,134,12,24,1,14,210,102,198,9,34,20,2,0,20,0,11,6,8,22
SRR1706042.40531,0,133,88,29,125,41,127,20,437,107,331,103,27,35,133,193,138,77,181,218
SRR1706087.14115,0,64,18,17,20,13,62,15,83,94,241,28,257,348,34,10,37,14,63,81
SRR1706037.29929,629,179,130,198,296,383,92,18,259,332,23,242,248,271,102,73,29,115,19,185
SRR1706097.24007,0,5,190,105,92,96,52,58,169,39,102,112,70,148,269,134,92,195,45,221
SRR1706082.10266,0,4,107,125,242,29,19,2,145,205,226,79,186,233,314,201,19,212,29,99
SRR1706087.19719,126,238,272,221,119,198,246,160,1645,195,275,163,55,115,91,214,243,116,226,246
SRR1706052.11759,30,15,259,129,145,178,7,77,202,31,48,62,22,153,80,127,118,116,55,98
SRR1706087.26676,338,6,126,57,82,170,44,25,732,159,197,232,33,112,97,257,256,101,149,173
SRR1706042.5617,268,53,452,305,378,484,50,106,484,126,162,168,99,595,524,313,266,358,69,392
SRR1706072.73303,152,101,41,36,108,14,91,36,217,59,76,32,51,34,18,35,20,62,153,126
SRR1706062.58140,277,286,0,0,0,4,670,543,158,9,9,14,1,1,0,0,0,0,1,3
SRR1706062.13074,578,100,15,7,2,8,165,79,153,41,55,36,55,74,16,5,4,12,8,56
SRR1706032.50417,646,91,0,0,0,0,17,0,0,5,14,0,0,0,0,0,0,0,0,0
SRR1706097.7656,0,0,40,50,94,179,0,1,251,25,23,59,11,11,64,42,44,55,3,10
SRR1706052.34926,0,2,136,121,70,92,30,27,463,28,50,23,7,89,24,110,369,82,282,106
SRR1706032.52787,797,198,10,20,6,14,55,3,25,25,28,4,15,32,10,1,2,7,2,4
SRR1706102.9013,342,121,42,104,209,49,431,167,396,230,115,100,135,183,103,119,50,143,46,130
SRR1706092.27340,1102,266,4,0,1,3,119,31,127,85,60,14,85,89,26,5,0,1,0,7
SRR1706032.42441,594,10,2,2,1,4,6,4,16,1,6,1,4,5,8,9,7,6,4,4
SRR1706107.14010,0,10,190,42,53,92,21,32,626,13,37,66,4,35,30,194,208,90,138,82
SRR1706032.17349,659,114,11,4,19,4,195,79,108,39,45,21,36,39,23,18,10,10,47,51
SRR1706072.94222,72,108,133,194,47,114,188,130,825,54,48,70,9,66,57,45,35,41,7,37
SRR1706042.13997,0,0,31,68,286,20,0,0,135,63,17,74,104,66,72,35,1,174,2,9
SRR1706072.62330,6,77,106,62,113,29,314,145,489,72,152,59,59,108,67,80,157,103,129,195
SRR1706052.21055,0,0,16,135,270,119,0,0,36,76,8,45,64,54,123,49,1,153,1,21
SRR1706072.65610,0,1,344,111,200,130,10,5,223,145,91,138,134,214,199,160,222,172,162,295
SRR1706082.31611,0,1,80,53,99,46,8,5,127,57,52,65,44,54,57,26,19,86,18,66
SRR1706062.31403,0,89,5,7,0,3,360,252,321,14,21,5,3,8,2,2,6,2,30,22
SRR1706122.37290,0,2,52,57,36,45,14,3,70,36,21,31,26,27,20,50,88,39,70,116
SRR1706032.18654,554,94,11,4,38,2,168,118,40,74,30,7,57,63,35,0,4,20,0,0
SRR1706067.22603,51,60,5,19,51,28,261,140,325,76,57,17,31,46,54,29,22,48,89,41
SRR1706102.44634,0,0,119,217,335,478,0,0,149,162,43,165,65,241,838,248,6,226,12,169
SRR1706032.23302,281,1,161,47,17,45,15,36,153,5,21,17,9,74,16,196,248,50,317,120
SRR1706127.14037,85,78,20,4,11,16,66,57,183,33,48,18,13,36,19,6,4,13,31,20
SRR1706047.43001,605,112,85,129,131,73,93,40,192,62,82,109,97,105,86,130,43,83,34,98
SRR1706032.47608,554,143,30,45,35,49,235,145,320,61,62,35,22,47,19,32,50,31,65,66
