,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706070.4339,0,0,0,0,0,0,6,110,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706080.8412,0,0,0,26,70,0,0,0,3,71,7,0,5,0,77,0,0,0,0,0
SRR1706080.10110,0,0,0,0,0,0,0,0,4,145,0,0,10,0,5,2,0,0,0,0
SRR1706050.14292,0,0,0,65,4,0,0,0,0,0,5,27,12,0,14,0,0,0,0,0
SRR1706065.12564,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,81,0,0,48
SRR1706045.15749,2,9,55,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SRR1706120.12526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0
SRR1706075.11313,0,0,0,3,1,0,0,0,100,42,0,0,6,6,9,11,0,0,0,0
SRR1706090.17565,0,0,0,26,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
SRR1706090.16576,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
SRR1706060.17069,0,0,13,50,5,69,0,0,4,8,0,6,0,0,19,0,0,66,2,0
SRR1706085.7675,0,0,0,0,0,0,1,5,0,0,79,0,0,0,0,0,0,0,0,0
SRR1706075.11278,0,0,0,0,0,0,16,10,64,0,3,14,0,0,0,0,0,0,0,0
SRR1706070.15140,0,0,3,0,0,4,1,59,0,0,3,0,0,0,0,0,0,0,0,0
SRR1706065.8429,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,42,0,0,0
SRR1706100.4625,0,0,0,0,0,0,0,0,5,0,0,0,0,66,0,0,0,58,0,0
SRR1706050.13558,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.2508,0,0,5,5,0,14,0,6,58,6,0,6,0,0,10,0,0,0,0,0
SRR1706055.10405,0,0,0,0,58,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0
SRR1706085.10275,0,0,0,0,0,0,6,0,0,44,9,0,0,0,2,0,0,0,0,1
SRR1706035.4960,63,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SRR1706130.6178,0,0,0,0,0,0,2,16,3,0,1,0,0,0,0,0,6,0,1,52
SRR1706105.19098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
SRR1706070.9178,0,0,0,0,0,0,51,61,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706120.25521,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,101,0,9
SRR1706105.24545,0,0,0,0,0,0,0,0,0,0,0,0,17,0,91,0,0,0,0,2
SRR1706070.6029,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706075.24623,0,0,0,0,2,21,0,0,17,0,1,34,0,0,0,0,0,0,0,0
SRR1706090.17214,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
SRR1706100.9731,0,0,1,0,0,0,0,0,0,3,0,0,71,4,1,0,0,0,11,0
SRR1706055.12558,0,0,4,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706130.9594,0,0,7,0,0,21,0,0,24,1,4,3,0,0,0,3,0,13,2,1
SRR1706100.3914,0,0,0,0,0,0,2,0,0,0,0,0,0,37,10,6,6,64,0,0
SRR1706110.3779,0,0,85,0,13,0,0,0,37,0,0,0,0,0,0,26,0,22,0,4
SRR1706050.4606,6,4,1,17,1,48,1,1,56,21,3,21,0,1,9,0,1,0,2,3
SRR1706125.5877,0,0,0,0,0,0,46,0,0,0,0,0,0,1,1,0,50,41,1,0
SRR1706115.2733,0,0,0,0,0,4,29,0,3,0,0,0,0,0,0,1,35,9,4,0
SRR1706070.12071,0,0,0,0,0,0,0,86,0,7,0,0,0,0,0,0,0,0,0,0
SRR1706120.23373,0,3,7,2,0,7,1,6,19,1,8,17,0,0,0,1,0,33,0,0
SRR1706045.14466,0,0,46,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706065.16252,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,25,0,18,1
SRR1706120.19366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,89,2,34
SRR1706070.20820,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706080.9278,0,0,0,0,14,0,0,0,0,58,0,0,0,3,0,0,0,0,0,0
SRR1706055.7050,0,0,0,0,41,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SRR1706085.6867,0,0,0,0,0,0,0,0,0,0,55,0,4,0,4,0,0,0,0,0
SRR1706125.3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
SRR1706120.2674,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,11,9,56,0,0
SRR1706105.10830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
SRR1706120.13085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
SRR1706035.882,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706120.26200,0,0,0,0,1,0,3,0,1,0,0,0,0,0,3,4,6,48,0,0
SRR1706080.17652,0,0,0,11,5,1,0,0,37,20,4,0,0,7,13,6,0,0,0,0
SRR1706065.12592,0,0,0,0,0,0,31,0,19,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.2031,2,37,0,11,0,0,0,0,27,12,4,1,0,0,0,0,0,0,0,0
SRR1706050.15413,0,0,0,40,0,0,0,0,0,7,2,0,0,2,0,2,0,0,3,0
SRR1706070.9572,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706065.1282,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR1706060.5634,0,0,0,0,0,47,8,0,2,0,0,0,0,0,0,0,14,0,0,0
SRR1706130.3759,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,8,0,0,79
SRR1706040.9258,0,2,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.61188,0,0,0,0,13,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0
SRR1706125.1830,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,29,0,3,0
SRR1706070.1154,0,0,10,0,0,0,2,32,1,0,0,0,0,0,0,0,0,0,1,0
SRR1706130.7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,44
SRR1706050.14707,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706070.8304,0,0,0,0,0,0,5,48,6,0,0,0,0,0,0,0,0,0,25,0
SRR1706075.21925,0,0,4,0,0,5,0,0,26,0,14,8,0,0,2,0,0,0,0,0
SRR1706040.5636,1,18,0,0,0,0,0,0,83,0,0,3,0,0,0,0,0,0,0,0
SRR1706050.5287,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706065.14325,0,0,0,0,0,0,34,22,10,0,2,0,0,0,0,0,0,0,0,0
SRR1706115.4323,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,32,0,6,1
SRR1706065.5103,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.7248,0,0,7,50,6,28,0,0,5,1,0,0,4,0,7,0,0,0,0,0
SRR1706120.22176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
SRR1706070.15467,0,0,11,0,6,0,0,16,13,0,0,8,0,2,0,5,1,18,0,7
SRR1706040.16626,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SRR1706085.19492,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
SRR1706055.7244,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706045.18338,0,0,28,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
SRR1706065.10307,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706090.17242,0,0,2,10,0,0,0,0,0,16,1,22,9,4,8,0,0,0,0,2
SRR1706105.26033,0,0,1,57,8,0,0,0,0,37,6,0,0,2,10,0,0,0,0,0
SRR1706045.19735,0,0,81,0,0,1,0,0,2,0,0,51,0,0,0,0,0,0,0,0
SRR1706110.3209,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,13,0,0,0,0
SRR1706120.8086,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,91,0,1
SRR1706050.562,1,0,0,29,14,0,0,0,9,7,1,5,0,1,0,0,0,0,0,0
SRR1706090.19342,0,0,0,0,0,0,6,0,0,0,24,67,0,0,0,0,0,0,0,0
SRR1706050.5371,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706055.14315,0,0,0,0,108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706055.11036,0,0,6,0,16,0,0,0,11,5,2,0,9,1,5,0,0,0,0,0
SRR1706095.3779,0,0,0,0,0,0,6,13,2,48,19,0,67,1,0,0,0,0,0,0
SRR1706065.7846,0,0,6,3,0,0,90,27,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.5625,0,0,0,25,9,0,0,0,59,0,0,0,0,0,7,20,0,0,0,0
SRR1706075.5391,0,84,0,0,2,0,1,2,10,8,1,1,1,1,2,1,0,0,0,3
SRR1706080.7880,0,0,0,0,6,0,0,0,0,32,3,1,0,0,0,0,0,0,0,0
SRR1706070.9322,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706120.13275,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,39,1,0
SRR1706095.5345,0,0,3,45,3,0,0,0,21,22,0,7,10,7,18,18,0,0,0,0
SRR1706090.20506,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
SRR1706080.7925,0,0,0,0,0,0,0,0,0,5,2,0,0,0,68,0,0,0,0,0
SRR1706070.9967,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706065.5914,0,0,0,0,0,19,6,15,0,0,0,0,2,0,0,0,12,0,2,0
SRR1706065.10918,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706070.8826,1,0,4,0,0,0,9,5,10,2,1,0,0,0,5,0,0,0,0,1
SRR1706065.12940,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706120.19230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
SRR1706065.13596,0,7,0,0,0,0,7,19,1,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.1927,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706095.5164,0,0,0,0,0,0,0,0,0,0,0,0,27,19,0,0,0,0,0,0
SRR1706080.8266,0,0,0,0,0,13,0,0,0,72,0,0,0,0,0,0,0,0,16,0
SRR1706040.13977,0,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SRR1706065.13954,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706125.2499,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,19,11
SRR1706120.7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,19,0,1
SRR1706070.9701,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,1,0,0,0
SRR1706040.4236,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
