,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1720800.6033,0,3,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.1028,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.2547,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720800.6151,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720802.2183,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0
SRR1720793.8039,11,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720809.5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0
SRR1720799.5549,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720809.2708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116,0,0,0
SRR1720798.6326,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720802.1996,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0
SRR1720804.2166,0,0,0,0,0,274,0,0,66,0,0,65,0,0,0,0,0,0,0,0
SRR1720794.6819,15,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.2880,0,0,0,0,0,0,0,0,0,134,0,0,10,43,0,0,0,0,0,0
SRR1720793.4961,44,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.6818,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SRR1720799.2448,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.4683,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
SRR1720795.6726,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720800.4732,0,0,0,0,0,0,0,80,0,2,0,0,0,0,0,0,0,0,0,0
SRR1720812.2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
SRR1720803.1011,3,0,0,0,0,0,0,0,0,0,67,7,0,0,0,0,0,0,0,0
SRR1720796.1149,0,0,61,32,0,18,0,0,0,0,0,2,0,0,0,4,0,0,0,0
SRR1720810.1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0
SRR1720795.4978,0,0,80,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720802.3235,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0
SRR1720810.2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0
SRR1720794.7112,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,163,0
SRR1720795.2985,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720798.1498,0,0,38,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.2737,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720794.800,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720794.2866,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.511,0,2,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.3453,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0
SRR1720795.4133,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
SRR1720795.3100,0,0,121,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SRR1720811.2856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,8
SRR1720802.1742,0,0,0,0,0,0,0,50,0,43,0,0,4,0,0,0,0,0,0,0
SRR1720796.7018,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.5501,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720808.3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0
SRR1720796.2374,3,0,4,15,3,8,0,5,0,0,0,2,0,0,0,3,0,0,0,0
SRR1720806.2902,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,0,0,0,0
SRR1720795.1604,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720811.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,28
SRR1720796.5439,0,0,15,66,0,61,5,0,6,0,0,3,0,0,0,0,0,1,1,1
SRR1720795.3137,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR1720795.1054,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720794.5474,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.3463,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
SRR1720808.1764,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,90,0,0,1,1
SRR1720809.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
SRR1720799.2052,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.6740,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720794.3047,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.5839,0,0,12,5,0,0,23,0,13,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.2277,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720793.6523,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720795.5870,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720801.4012,0,0,9,0,1,0,0,0,7,0,0,2,0,0,2,6,0,0,0,0
SRR1720796.3333,0,0,0,156,1,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0
