OTU_id	Plot03-H	CM30c39-A	CM30c-P	Plot06-I	CM30c46-O	CM30b58-I	CM30c44-C	Plot03-N	Plot04-A	LB5-I	CM30c30-L	CM30c28-P	CM30c60-B	CM30b51-B	CM30c46-D	Plot01-B	CM30c-O	CM30d12-H	Plot08-O	CM30c37-E	CM30c35-D	Plot01-L	Plot05-N	Plot07-M	CM30d12-L	CM30c53-B	CM31a5-B	CM30c53-I	CM30c37-L	CM30c30-N	CM30b60-M	LB5-A	CM30b51-M	CM30c39-E	LB1-A	CM30b58-C	CM30d3-D	CM30d3-L	CM30c28-N	Plot04-N	Plot02-M	LB1-E	CM30b60-E	CM30c62-D	CM30c60-A	CM30c62-M	Plot07-N	Plot06-N	Plot08-I	CM30c51-H	CM31a5-A	CM30c51-I	Plot05-I	CM30c44-B	CM30c35-B	Plot02-C
M00598_54_000000000-ABCWN_1_1103_12617_21069|gene_FolCO1	13	2	214	10	374	20	0	1029	2	120	31	612	1693	0	424	1	0	107	212	0	0	0	0	0	107	17	496	42	6	24	15	35	59	2	33	397	15	203	88	199	197	121	2	0	0	3	6	40	161	0	72	4	97	0	0	0
M00598_54_000000000-ABCWN_1_1104_16931_16394|gene_FolCO1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3061	0	0	0	0	0	1684	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_20891_1604|gene_FolCO1	7	2249	64	0	0	0	0	25	0	0	0	3	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	56	0	0	1334	0	64	0	0	3	0	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_25133_3493|gene_FolCO1	0	0	4	4	0	5	0	227	0	1	0	27	1	5	0	0	0	2	0	0	5	0	0	0	0	4	1543	19	22	0	0	0	2	0	0	0	0	0	0	0	168	0	0	1129	0	24	0	0	0	10	88	0	85	0	449	0
M00598_54_000000000-ABCWN_1_1102_19655_13154|gene_FolCO1	0	14	0	0	0	0	212	0	0	0	0	0	0	33	0	0	19	0	0	0	0	0	2769	31	9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	148	0	6	0	3	0	0	0	0	0	0	58	0	0
M00598_54_000000000-ABCWN_1_1101_16899_14852|gene_FolCO1	113	0	0	195	653	3	0	132	8	66	0	2	3	0	6	0	1	15	56	10	7	0	44	0	31	5	131	0	18	0	0	0	9	577	7	67	2	60	6	41	12	31	0	152	8	1	0	27	254	0	30	1	42	0	82	0
M00598_54_000000000-ABCWN_1_2115_7173_4907|gene_FolCO1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2951	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_20215_9318|gene_FolCO1	0	84	1	156	0	0	177	0	0	0	0	0	0	0	0	0	8	0	0	91	0	0	1279	102	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	279	584	0	34	0	113	0	44	0	0
M00598_54_000000000-ABCWN_1_1101_17634_17962|gene_FolCO1	16	15	52	33	10	24	0	1	0	65	0	29	0	8	56	0	0	69	51	27	3	0	0	39	29	5	4	1	1	97	16	0	0	145	14	317	106	1198	21	0	19	176	4	0	14	0	79	63	93	2	0	0	37	0	5	0
M00598_54_000000000-ABCWN_1_1104_13593_16519|gene_FolCO1	24	17	138	634	22	127	31	84	0	1	0	7	43	54	6	73	0	1	48	236	121	15	13	105	214	0	1470	0	133	0	85	0	1	32	0	45	100	201	0	10	69	10	0	525	34	2	67	414	13	126	26	191	85	0	56	0
