CM30c28	Plot05	CM30c46	CM30b58	CM30c60	LB5	CM31a5	CM30c	CM30d3	CM30c44	CM30c39	CM30c30	CM30c53	CM30b60	CM30b51	CM30d12	Plot03	Plot08	Plot06	Plot02	Plot01	CM30c35	Plot04	CM30c37	CM30c62	LB1	Plot07	CM30c51
M00598_54_000000000-ABCWN_1_2116_21888_5477|gene_26S	11	0	6045	0	2	49	0	2	1	0	0	1111	2	0	16	0	0	0	0	0	0	0	0	0	0	20	0	0
M00598_54_000000000-ABCWN_1_1103_20113_19622|gene_26S	1601	1	179	0	1	642	1	1	315	1	0	1906	4723	3	10116	1199	1	36	1858	0	0	0	14	0	1	5666	2	0
M00598_54_000000000-ABCWN_1_1101_24663_4365|gene_26S	2494	0	0	1113	0	0	0	1488	0	1	0	0	0	0	1	0	5340	1	0	0	1	297	0	1	0	0	0	9
M00598_54_000000000-ABCWN_1_1111_16168_17171|gene_26S	0	1	0	0	1	34	0	1	0	0	924	0	0	24	0	311	0	4905	1	1	0	0	28	1278	219	0	0	18
M00598_54_000000000-ABCWN_1_1101_18681_5158|gene_26S	0	0	5538	0	0	0	0	0	0	1	0	43	282	24	94	1438	7	92	4	1	1	0	155	0	0	52	0	0
M00598_54_000000000-ABCWN_1_2101_6183_10181|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6189	0	0	0	0	1	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1101_10675_2822|gene_26S	8	196	0	106	0	0	1	2	0	1	0	0	0	0	0	0	12	1	2	4520	0	0	1	0	830	0	0	1
M00598_54_000000000-ABCWN_1_1101_20039_9979|gene_26S	0	0	0	1	854	1408	0	0	0	0	0	138	152	0	0	2859	0	2	0	0	0	0	305	46	2	35	0	0
M00598_54_000000000-ABCWN_1_1101_9196_3464|gene_26S	0	0	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	4294	0	0
M00598_54_000000000-ABCWN_1_1101_23756_3949|gene_26S	3	267	94	0	0	0	0	2	1	7	0	0	0	0	0	172	23	247	262	0	0	27	0	4980	0	0	29	0
M00598_54_000000000-ABCWN_1_1102_8900_9658|gene_26S	0	65	0	4596	0	0	149	0	0	0	0	0	0	0	0	0	0	1	20	0	0	156	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1101_19747_2407|gene_26S	1	0	4580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0
M00598_54_000000000-ABCWN_1_1101_17368_2783|gene_26S	0	0	0	3464	285	1	0	0	0	0	0	217	0	0	0	3	0	0	0	0	0	0	0	1	0	335	1	1273
M00598_54_000000000-ABCWN_1_1101_10435_6501|gene_26S	0	0	0	0	0	54	0	0	1070	0	0	16	0	1	112	0	0	0	0	0	1	0	0	0	0	2011	0	2181
M00598_54_000000000-ABCWN_1_1101_21175_7274|gene_26S	0	849	5	0	157	0	0	1	456	45	1037	26	0	703	143	551	202	1	45	15	0	49	0	931	0	21	1052	19
M00598_54_000000000-ABCWN_1_1101_18773_3772|gene_26S	0	1	0	0	0	6	0	0	0	0	1	0	0	0	0	8997	0	0	0	0	1	0	0	2529	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_20601_3706|gene_26S	2162	36	16	36	80	8	3030	786	403	0	7	70	126	2	136	564	23	986	5	635	0	18	45	29	216	6	1	44
M00598_54_000000000-ABCWN_1_1110_11316_19359|gene_26S	0	1	0	0	0	38	0	0	0	1	0	2398	0	0	0	8	0	0	0	0	0	0	0	0	0	1064	1	0
M00598_54_000000000-ABCWN_1_1113_14169_15742|gene_26S	14	363	0	233	3	0	294	708	0	0	0	0	0	1	0	0	27	0	16	5163	118	258	0	0	408	0	0	170
M00598_54_000000000-ABCWN_1_1101_11323_2714|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4209	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_19459_1663|gene_26S	38	92	119	47	87	50	322	194	130	0	0	12	3	85	0	857	215	2113	0	1541	1	56	0	0	278	2	2	28
M00598_54_000000000-ABCWN_1_1113_28332_12312|gene_26S	3	0	0	0	3	472	0	0	0	3	2	168	13	5	49	3167	0	1092	13	0	2	0	28	29	0	5	2	0
M00598_54_000000000-ABCWN_1_1102_23042_6216|gene_26S	199	196	182	1411	37	238	406	73	143	310	171	10	141	153	777	99	211	28	430	798	552	276	757	259	313	18	62	176
M00598_54_000000000-ABCWN_1_1101_17340_1537|gene_26S	0	0	0	3927	0	0	1407	1	0	0	0	0	0	0	0	0	0	0	0	238	13	0	0	0	4	0	0	23
M00598_54_000000000-ABCWN_1_1103_19459_6387|gene_26S	57	0	0	494	5	0	1053	2782	0	0	0	0	0	0	0	0	0	0	0	0	131	5	0	0	59	0	0	58
M00598_54_000000000-ABCWN_1_1109_15057_20689|gene_26S	22	60	155	242	121	1558	503	118	390	621	303	33	93	496	235	104	182	232	213	133	361	164	409	541	57	317	121	228
M00598_54_000000000-ABCWN_1_1101_12119_1565|gene_26S	0	0	0	4	0	3234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_26272_17608|gene_26S	46	436	253	1636	24	115	1055	356	957	366	329	48	15	225	367	334	77	135	213	214	63	378	167	965	38	237	237	359
M00598_54_000000000-ABCWN_1_1101_7054_9054|gene_26S	0	451	0	1990	0	186	0	0	48	0	232	0	0	135	18	96	0	3	138	0	0	0	13	41	0	36	91	0
M00598_54_000000000-ABCWN_1_1101_21049_1856|gene_26S	0	0	0	0	0	12	0	0	0	0	0	0	0	0	210	1	0	1	3470	1	0	0	914	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_11965_6759|gene_26S	31	0	0	0	341	4	0	12	0	0	11	0	144	43	952	93	0	3140	232	0	0	69	181	168	243	0	0	0
M00598_54_000000000-ABCWN_1_1101_14194_2456|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3267	0	0	2	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2108_19819_16254|gene_26S	0	0	0	0	0	3056	0	0	2	0	0	115	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2107_18305_5908|gene_26S	0	83	37	284	0	143	0	0	802	0	2	0	1	0	147	109	0	1	43	1	0	0	1801	33	0	28	4	1
M00598_54_000000000-ABCWN_1_1109_6180_12295|gene_26S	168	253	421	133	36	50	597	870	716	9	162	99	235	210	55	260	84	711	9	1251	0	479	39	130	509	167	74	13
M00598_54_000000000-ABCWN_1_1102_8194_15569|gene_26S	0	0	1	1	0	200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2404	0	0	960	0	0
M00598_54_000000000-ABCWN_1_1115_17235_18190|gene_26S	1	500	0	27	2	0	0	0	935	0	0	0	0	1790	493	4	0	0	0	0	0	52	0	60	0	0	80	0
M00598_54_000000000-ABCWN_1_1102_23868_20164|gene_26S	0	0	0	0	0	1159	0	0	0	1	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0
M00598_54_000000000-ABCWN_1_1107_20648_22923|gene_26S	0	0	0	17	5	3	1	0	2	2	0	0	0	0	1	385	0	51	0	0	0	235	126	4	2670	0	0	2
M00598_54_000000000-ABCWN_1_2110_25756_12047|gene_26S	3	0	0	0	1	0	0	3226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1110_12947_13924|gene_26S	0	0	1	0	2	0	2927	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1101_14648_4858|gene_26S	1137	60	393	12	0	274	147	118	172	0	0	98	1661	4	25	777	156	621	8	166	0	110	6	76	242	153	0	0
M00598_54_000000000-ABCWN_1_2104_21185_6991|gene_26S	0	0	0	0	0	0	0	1	10	1	1924	0	0	162	0	38	0	0	0	0	2	0	0	637	0	0	875	0
M00598_54_000000000-ABCWN_1_2116_13186_21320|gene_26S	0	0	0	0	10	0	0	0	0	11	0	1	1	0	2568	0	1	0	34	0	1	1	11	0	0	0	0	3
M00598_54_000000000-ABCWN_1_1102_23666_8642|gene_26S	0	0	1	0	0	902	0	0	66	0	253	0	0	0	0	285	0	0	0	0	0	1	0	0	0	887	0	0
M00598_54_000000000-ABCWN_1_1101_23709_8387|gene_26S	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	2247	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_12099_2911|gene_26S	0	0	0	0	4	0	2406	40	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	56	0	0	0
M00598_54_000000000-ABCWN_1_1102_15164_13301|gene_26S	54	0	233	202	0	808	97	165	197	76	0	69	15	85	52	261	0	307	1	0	0	0	24	0	0	58	0	0
M00598_54_000000000-ABCWN_1_1101_6996_9464|gene_26S	10	116	308	1	0	6	0	0	0	0	0	0	0	0	951	20	0	24	0	0	0	1004	0	63	0	1196	11	0
M00598_54_000000000-ABCWN_1_1113_27671_18603|gene_26S	0	2	0	1	11	26	0	2	0	0	0	0	6	0	0	1	0	4	0	31	5	2271	0	351	0	0	0	1
M00598_54_000000000-ABCWN_1_1101_21212_5200|gene_26S	2505	154	877	502	80	300	276	311	419	41	219	72	1428	80	285	499	167	649	60	432	81	396	333	167	356	351	26	77
M00598_54_000000000-ABCWN_1_1101_18637_10983|gene_26S	0	0	1	0	0	0	0	0	111	0	231	0	0	193	0	2159	0	0	0	0	0	0	0	13	0	0	0	0
M00598_54_000000000-ABCWN_1_1115_20949_14105|gene_26S	1	26	594	117	2	208	528	10	123	0	6	0	4	2	72	27	31	78	26	7	0	100	9	12	0	122	31	5
M00598_54_000000000-ABCWN_1_1101_8856_2265|gene_26S	0	0	0	1	0	2263	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
M00598_54_000000000-ABCWN_1_1107_17919_22698|gene_26S	0	47	8	11	87	0	1	0	893	0	6	0	2	69	19	254	43	88	0	4	0	4	2	888	23	0	331	0
M00598_54_000000000-ABCWN_1_1101_8313_2166|gene_26S	0	0	0	0	0	1811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_12493_1585|gene_26S	96	135	137	82	9	48	48	292	234	6	3	2	34	10	5	7	11	18	2	20	11	28	77	2091	7	8	0	1
M00598_54_000000000-ABCWN_1_1101_17236_1590|gene_26S	0	744	1	116	14	33	8	77	300	341	727	0	0	465	351	115	239	220	380	176	55	28	11	109	14	53	367	736
M00598_54_000000000-ABCWN_1_1106_8579_16259|gene_26S	323	32	26	583	111	157	140	400	46	7	84	63	1237	3	51	347	48	73	13	86	61	19	26	16	16	126	33	7
M00598_54_000000000-ABCWN_1_2106_19977_3251|gene_26S	11	266	24	470	0	22	0	465	23	94	35	128	0	72	0	85	39	38	74	17	0	0	145	170	4	14	12	0
M00598_54_000000000-ABCWN_1_1104_14626_8015|gene_26S	0	44	1043	0	0	0	205	0	222	0	0	0	0	0	0	0	0	0	0	7	0	0	0	13	59	13	283	0
M00598_54_000000000-ABCWN_1_1102_23623_5730|gene_26S	110	59	1	303	30	23	18	408	26	215	55	13	153	30	18	37	26	130	179	8	157	5	295	116	31	14	116	86
M00598_54_000000000-ABCWN_1_2105_15052_13312|gene_26S	5	26	7	327	6	95	48	11	59	112	1063	3	3	461	171	105	55	41	232	35	75	23	76	133	43	76	51	25
M00598_54_000000000-ABCWN_1_1107_8519_8369|gene_26S	0	8	111	0	0	1656	0	0	0	20	0	101	0	0	15	117	0	9	0	0	0	0	0	0	0	96	0	0
M00598_54_000000000-ABCWN_1_1101_8743_3538|gene_26S	0	39	0	1	0	0	0	215	5	1137	0	0	0	1	0	171	0	0	0	0	2	0	0	253	0	0	0	430
M00598_54_000000000-ABCWN_1_1103_8313_13701|gene_26S	22	4	85	43	1	0	54	111	1	0	643	0	1	0	0	55	220	38	4	497	0	298	0	1	43	0	4	0
M00598_54_000000000-ABCWN_1_1105_7672_5254|gene_26S	7	58	0	34	12	20	0	0	2	0	0	0	2	97	27	112	27	5	1868	0	0	0	0	4	0	8	0	0
M00598_54_000000000-ABCWN_1_1111_18675_19864|gene_26S	0	49	10	16	13	57	47	15	21	142	84	1	0	34	3	27	82	47	49	48	18	0	4	78	0	735	173	120
M00598_54_000000000-ABCWN_1_1101_9805_5065|gene_26S	101	70	22	166	2	21	39	181	18	60	41	15	118	91	170	152	82	219	127	19	90	30	1013	338	63	37	11	54
M00598_54_000000000-ABCWN_1_1101_20354_7694|gene_26S	0	0	0	416	0	316	1	0	0	1427	1282	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	21	0
M00598_54_000000000-ABCWN_1_1101_13172_3500|gene_26S	0	0	0	0	0	0	3314	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
