CM30c28	Plot05	CM30c46	CM30b58	CM30c60	LB5	CM31a5	CM30c	CM30d3	CM30c44	CM30c39	CM30c30	CM30c53	CM30b60	CM30b51	CM30d12	Plot03	Plot08	Plot06	Plot02	Plot01	CM30c35	Plot04	CM30c37	CM30c62	LB1	Plot07	CM30c51
M00598_54_000000000-ABCWN_1_2101_10428_14700|gene_26S	0	0	0	2	0	0	0	0	14	0	0	0	0	6	0	1	0	0	1	0	0	0	3	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1116_17752_20624|gene_26S	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	2	0
M00598_54_000000000-ABCWN_1_2105_18550_14530|gene_26S	2	0	2	1	0	4	0	5	0	0	0	1	1	0	5	2	1	0	0	0	0	1	0	0	0	3	0	0
M00598_54_000000000-ABCWN_1_1109_26951_11834|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_22535_20195|gene_26S	0	5	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	8
M00598_54_000000000-ABCWN_1_1117_23084_1357|gene_26S	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1101_9620_4806|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1116_7697_11239|gene_26S	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1111_8545_4487|gene_26S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
M00598_54_000000000-ABCWN_1_1114_12383_15011|gene_26S	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	1	0	0
M00598_54_000000000-ABCWN_1_2111_5734_11818|gene_26S	0	5	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	5	1
M00598_54_000000000-ABCWN_1_1109_12971_9249|gene_26S	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2101_25673_17878|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
M00598_54_000000000-ABCWN_1_1103_13650_3515|gene_26S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	4	15	0	0	0	0	3
M00598_54_000000000-ABCWN_1_2115_14319_16820|gene_26S	0	0	5	3	0	1	0	0	3	0	0	1	0	0	0	1	0	0	1	1	0	1	0	2	0	3	2	0
M00598_54_000000000-ABCWN_1_1112_11598_2031|gene_26S	0	0	0	0	0	49	0	0	0	19	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_24634_8426|gene_26S	0	0	10	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_25268_9007|gene_26S	0	0	0	0	1	0	0	1	0	3	0	0	0	2	3	0	0	0	0	0	0	0	4	3	0	0	0	2
M00598_54_000000000-ABCWN_1_1109_22735_18362|gene_26S	0	2	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00598_54_000000000-ABCWN_1_1108_18296_21159|gene_26S	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2108_24279_5103|gene_26S	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	12	0
M00598_54_000000000-ABCWN_1_1119_9103_13601|gene_26S	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1111_11399_2988|gene_26S	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_23760_5188|gene_26S	0	0	0	0	0	0	0	0	11	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6	0
M00598_54_000000000-ABCWN_1_1102_10857_9876|gene_26S	0	0	0	0	3	0	4	2	0	2	0	0	0	0	0	0	0	0	1	2	6	0	0	1	0	0	7	42
M00598_54_000000000-ABCWN_1_1113_19863_5368|gene_26S	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	17	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_29450_15166|gene_26S	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_14391_22214|gene_26S	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_17212_4485|gene_26S	0	0	0	2	0	0	2	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_22031_14105|gene_26S	3	9	0	7	3	0	11	1	9	1	0	0	0	0	0	0	7	0	3	1	4	6	3	0	3	0	0	14
M00598_54_000000000-ABCWN_1_1103_25909_16064|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_7145_8195|gene_26S	0	0	0	0	0	0	0	8	0	0	5	0	0	12	0	0	0	4	0	5	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1105_20197_15843|gene_26S	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	17	0	1	0	0	0
M00598_54_000000000-ABCWN_1_2113_27535_9722|gene_26S	0	0	0	19	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1105_26028_17338|gene_26S	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_13119_11268|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1111_15315_13760|gene_26S	0	3	1	2	0	4	0	0	0	0	0	0	0	2	0	3	5	2	0	0	0	0	6	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_26912_12745|gene_26S	1	3	1	24	0	4	0	1	1	1	0	2	2	3	9	2	0	1	0	0	3	1	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_20225_17122|gene_26S	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_7696_12813|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1118_16132_19055|gene_26S	0	0	4	8	0	1	7	1	4	0	0	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1110_4995_12667|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1116_7200_21587|gene_26S	0	0	0	3	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_5678_13326|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1119_26719_8467|gene_26S	0	0	1	2	0	3	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1119_26161_11175|gene_26S	0	0	0	3	0	0	0	0	0	0	0	4	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_21378_12477|gene_26S	0	1	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	7	2	22	0	0	0	0	2	1	25	2
M00598_54_000000000-ABCWN_1_1119_12847_13114|gene_26S	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_26328_21166|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	8	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_20552_15443|gene_26S	0	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	15	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1118_15718_17240|gene_26S	0	2	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	15
M00598_54_000000000-ABCWN_1_1101_20965_12033|gene_26S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1109_23794_3295|gene_26S	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_10904_10037|gene_26S	1	0	0	2	1	0	8	8	0	0	0	0	0	0	0	0	3	0	0	3	2	0	0	0	2	0	0	0
M00598_54_000000000-ABCWN_1_1105_20737_22653|gene_26S	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_14546_3864|gene_26S	0	0	0	0	2	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_10562_14683|gene_26S	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	17	0	0	0	2	7	0	0	3	0
M00598_54_000000000-ABCWN_1_1107_11880_11903|gene_26S	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1111_24115_4115|gene_26S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5
M00598_54_000000000-ABCWN_1_2108_23571_20400|gene_26S	0	1	0	2	0	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	10	0	4	0	0	0	1	0
M00598_54_000000000-ABCWN_1_1106_23735_2732|gene_26S	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_8387_8042|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2101_9844_13392|gene_26S	0	0	1	0	0	1	3	0	3	5	0	0	0	2	3	0	0	1	0	0	6	1	3	0	0	0	7	0
M00598_54_000000000-ABCWN_1_1104_17234_3997|gene_26S	0	3	0	1	1	0	9	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1103_4447_16926|gene_26S	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_22732_4056|gene_26S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	21	0	0	0	0	1
M00598_54_000000000-ABCWN_1_1102_10820_17688|gene_26S	0	5	3	4	0	3	1	0	10	0	4	3	0	0	0	7	0	4	0	0	0	3	0	0	0	1	1	0
M00598_54_000000000-ABCWN_1_1109_15286_5863|gene_26S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_11642_19533|gene_26S	0	0	8	7	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_24596_8171|gene_26S	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	2	0	0	3
M00598_54_000000000-ABCWN_1_2110_15624_20798|gene_26S	0	0	0	3	0	0	1	11	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_2111_23947_7884|gene_26S	0	4	0	3	0	0	0	0	2	0	0	0	0	0	1	2	0	0	3	0	0	1	0	2	0	0	0	1
M00598_54_000000000-ABCWN_1_1110_19748_11924|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	10	0	4	3	0
M00598_54_000000000-ABCWN_1_1102_20527_9086|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	51	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_20270_22514|gene_26S	0	0	0	0	2	11	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_17652_11455|gene_26S	0	0	0	0	2	0	0	0	3	7	0	0	0	0	4	0	0	1	0	0	1	0	1	0	0	0	5	0
M00598_54_000000000-ABCWN_1_1103_21233_13909|gene_26S	0	0	0	0	0	1	0	0	0	12	2	0	0	0	1	0	0	0	0	0	3	0	1	1	0	2	0	0
M00598_54_000000000-ABCWN_1_1113_11653_17600|gene_26S	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_15337_14131|gene_26S	4	0	1	1	0	1	1	20	0	0	2	4	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_20718_20558|gene_26S	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1106_22106_23932|gene_26S	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_16740_21021|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	2	0	0	0
M00598_54_000000000-ABCWN_1_2112_26206_10959|gene_26S	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1119_22205_17942|gene_26S	1	0	0	0	0	8	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	3	0	0
M00598_54_000000000-ABCWN_1_2110_15319_5941|gene_26S	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_2115_8928_9454|gene_26S	3	0	0	2	0	1	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_11887_22515|gene_26S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0
M00598_54_000000000-ABCWN_1_1106_19984_11534|gene_26S	0	0	0	20	0	0	0	0	6	0	0	0	0	5	1	1	0	0	4	0	2	0	0	1	0	0	9	0
M00598_54_000000000-ABCWN_1_1106_23166_6992|gene_26S	0	0	5	5	0	0	0	2	2	2	1	6	0	2	0	2	0	0	0	2	0	0	0	0	0	2	3	0
M00598_54_000000000-ABCWN_1_1106_16446_22126|gene_26S	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1106_26801_9763|gene_26S	0	0	0	5	0	0	0	1	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1109_27249_15208|gene_26S	0	0	0	3	0	0	4	0	0	0	0	0	2	1	4	1	0	0	4	0	3	0	2	0	0	0	0	4
M00598_54_000000000-ABCWN_1_1107_21231_4192|gene_26S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0
M00598_54_000000000-ABCWN_1_1101_9767_7840|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_16660_10516|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	6	19	0	0	0	0	0	3
M00598_54_000000000-ABCWN_1_1110_17636_8625|gene_26S	0	2	0	1	0	0	0	0	2	0	1	0	0	6	0	2	0	1	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1115_21598_17415|gene_26S	0	0	0	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6
M00598_54_000000000-ABCWN_1_1106_15077_15282|gene_26S	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_22289_14088|gene_26S	0	0	0	1	0	0	0	6	5	0	0	0	0	2	0	0	1	14	0	3	1	2	0	0	0	0	0	3
M00598_54_000000000-ABCWN_1_2108_16531_10007|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	3	0	0	0	0	0	0	0	4	0
M00598_54_000000000-ABCWN_1_1104_13921_13855|gene_26S	0	0	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_22691_17896|gene_26S	0	0	0	0	0	0	0	2	0	6	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_13503_17163|gene_26S	0	0	0	1	0	2	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_26176_8602|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	9	0	0	4	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_24219_16276|gene_26S	0	1	0	11	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_25017_20847|gene_26S	0	0	2	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
M00598_54_000000000-ABCWN_1_1118_23812_16356|gene_26S	0	1	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_25857_4031|gene_26S	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1102_13030_22142|gene_26S	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1111_12224_10814|gene_26S	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	1	1	3	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_5820_15288|gene_26S	0	1	1	10	0	0	1	9	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_15394_18379|gene_26S	0	0	0	0	0	2	0	0	4	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1116_13354_16013|gene_26S	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	0
M00598_54_000000000-ABCWN_1_1109_16848_3723|gene_26S	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1114_14758_17960|gene_26S	0	0	0	0	0	0	0	0	3	0	2	0	0	0	3	0	0	0	1	0	0	0	1	2	0	0	1	0
M00598_54_000000000-ABCWN_1_1114_24619_16580|gene_26S	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	5	0	1	0	0	1	3
M00598_54_000000000-ABCWN_1_1115_12903_4568|gene_26S	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1111_19797_3475|gene_26S	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1105_14468_15786|gene_26S	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0
M00598_54_000000000-ABCWN_1_1105_14652_13221|gene_26S	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_14854_14917|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0
M00598_54_000000000-ABCWN_1_1105_8573_15980|gene_26S	0	0	2	0	0	7	1	0	3	0	1	1	0	2	4	0	0	0	0	0	0	0	1	0	0	7	0	0
M00598_54_000000000-ABCWN_1_1102_15256_6493|gene_26S	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1116_21266_8460|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_14328_16197|gene_26S	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	1	0	0	0
M00598_54_000000000-ABCWN_1_2116_11417_18065|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	9	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_23280_5777|gene_26S	1	0	0	1	1	0	0	0	7	0	0	1	3	0	1	0	0	0	0	1	0	1	2	0	0	0	0	1
M00598_54_000000000-ABCWN_1_2119_15703_20436|gene_26S	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	4	5	0	0	0
M00598_54_000000000-ABCWN_1_1119_8402_3898|gene_26S	0	5	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2111_6296_16962|gene_26S	0	2	0	3	0	2	3	0	1	0	0	0	0	0	2	2	0	4	0	0	0	0	0	0	1	1	0	0
M00598_54_000000000-ABCWN_1_2103_10615_7891|gene_26S	0	0	5	2	0	2	0	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	6	0	0
M00598_54_000000000-ABCWN_1_1103_12528_1961|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	6	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_28381_18077|gene_26S	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2111_14449_14865|gene_26S	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_14255_5875|gene_26S	0	0	3	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_13174_12844|gene_26S	0	2	0	3	0	0	0	0	7	0	0	0	0	0	4	0	0	0	3	0	0	0	0	2	0	0	0	1
M00598_54_000000000-ABCWN_1_1106_11072_22716|gene_26S	0	0	1	5	0	0	7	0	0	2	0	0	0	0	1	0	0	3	4	0	0	1	0	0	0	0	2	0
M00598_54_000000000-ABCWN_1_1112_18827_6177|gene_26S	0	0	2	0	0	0	0	0	0	11	0	0	0	0	4	0	2	0	0	0	0	2	0	0	0	0	0	3
M00598_54_000000000-ABCWN_1_1106_10984_18160|gene_26S	0	2	0	3	0	2	0	0	7	8	0	0	2	2	3	0	0	0	0	0	5	0	23	0	0	5	0	1
M00598_54_000000000-ABCWN_1_1115_10982_5748|gene_26S	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0
M00598_54_000000000-ABCWN_1_1103_8922_14916|gene_26S	0	0	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1108_28192_16084|gene_26S	2	0	1	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2110_10145_12161|gene_26S	2	3	0	3	0	0	6	0	0	18	2	0	1	2	23	0	0	0	6	0	14	2	30	0	1	0	0	12
M00598_54_000000000-ABCWN_1_1102_7406_18239|gene_26S	0	1	0	13	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2112_17374_14924|gene_26S	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
M00598_54_000000000-ABCWN_1_1108_7647_9404|gene_26S	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_2104_21796_1376|gene_26S	0	0	2	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1104_28508_10330|gene_26S	0	0	2	0	0	11	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0
M00598_54_000000000-ABCWN_1_2116_10441_14283|gene_26S	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_14931_18416|gene_26S	0	0	0	3	0	0	0	0	4	0	0	0	0	0	6	0	0	0	1	0	0	0	0	3	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_10863_10999|gene_26S	0	0	0	2	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1105_9163_6857|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_19616_2657|gene_26S	0	8	0	1	0	0	2	1	0	0	0	1	1	0	0	4	0	0	1	0	0	8	0	4	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_25135_16406|gene_26S	0	4	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	2	0	0	7	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_24088_13494|gene_26S	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
