CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1101_20107_7352|gene_18S	186	181	18	26	74	96	456	32	89	202	107	107	92	14	1	83	7	113	0	136	17	17	43	132	3	106	88	137
M01895_13_000000000-ABYEE_1_1101_6310_25335|gene_18S	790	7	920	122	549	202	296	55	165	239	1981	421	470	22	58	305	473	186	37	97	93	210	184	39	310	757	38	380
M01895_13_000000000-ABYEE_1_1114_16270_9981|gene_18S	269	282	167	39	606	29	252	596	26	78	207	145	170	7	181	145	94	144	170	98	226	160	304	45	30	381	103	102
M01895_13_000000000-ABYEE_1_1101_13094_4534|gene_18S	201	210	60	81	239	45	180	127	12	35	41	215	1084	12	41	224	43	87	70	114	40	141	101	10	25	27	70	158
M01895_13_000000000-ABYEE_1_1104_8342_14645|gene_18S	0	0	24	78	0	0	69	130	349	56	0	11	0	0	0	0	0	234	0	0	2	372	230	79	9	752	14	36
M01895_13_000000000-ABYEE_1_1101_19213_2214|gene_18S	0	77	0	0	0	1429	27	0	0	165	325	0	0	1	0	895	1	0	0	13	1	0	4	1	0	1	2	0
M01895_13_000000000-ABYEE_1_1103_14827_15675|gene_18S	0	29	0	21	0	0	0	628	35	0	1	1	62	1	0	0	428	1007	2	0	1	8	135	0	0	1	0	2
M01895_13_000000000-ABYEE_1_1107_17612_3563|gene_18S	1042	62	59	1577	9	39	1520	135	24	369	26	2	75	3	48	70	3	112	4	40	22	1263	48	69	4	34	228	69
M01895_13_000000000-ABYEE_1_2112_11727_12028|gene_18S	8	231	35	85	20	0	319	101	0	0	0	90	29	79	2	33	99	61	4	1	209	37	174	8	0	270	14	25
M01895_13_000000000-ABYEE_1_1101_8539_4600|gene_18S	2	0	51	7	15	170	8	1	969	84	242	40	2	170	24	0	0	208	0	0	65	0	31	248	0	26	61	0
M01895_13_000000000-ABYEE_1_1102_7609_16362|gene_18S	11	3	5	8	58	41	69	1	3	12	5	11	0	18	6	19	11	1570	4	4	42	21	5	3	6	17	4	48
M01895_13_000000000-ABYEE_1_1107_9785_7290|gene_18S	18	35	49	39	0	159	163	21	140	80	374	14	87	31	0	1	0	5	0	57	73	0	9	249	0	244	26	35
M01895_13_000000000-ABYEE_1_1107_16076_4429|gene_18S	0	0	12	38	0	465	47	22	50	386	45	14	250	18	0	1	0	702	0	3	0	1	156	160	0	585	0	177
M01895_13_000000000-ABYEE_1_1113_10876_11152|gene_18S	107	1186	8	11	227	9	447	34	5	0	1	1	31	0	34	57	476	26	0	115	465	9	118	3	0	200	0	7
