CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1102_7839_9648|gene_18S	0	0	0	0	0	41	0	0	0	48	7	0	1	0	0	0	0	0	0	0	0	11	11	2	0	33	0	0
M01895_13_000000000-ABYEE_1_1104_10987_8014|gene_18S	0	5	3	0	0	0	0	0	0	4	0	0	0	0	1	11	4	0	2	3	4	0	0	0	0	7	0	2
M01895_13_000000000-ABYEE_1_1109_3760_19131|gene_18S	5	9	2	2	0	12	4	2	0	8	12	0	0	0	0	1	4	0	0	1	5	5	3	3	0	10	3	1
M01895_13_000000000-ABYEE_1_1101_13070_5769|gene_18S	0	0	0	0	0	3	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_11529_23325|gene_18S	11	4	1	0	3	0	4	4	3	2	4	2	3	0	4	3	15	8	5	5	2	1	0	0	3	7	2	2
M01895_13_000000000-ABYEE_1_2108_25683_23997|gene_18S	4	3	3	4	7	1	7	17	9	3	3	7	15	9	8	2	0	6	0	11	2	7	4	0	12	13	2	10
M01895_13_000000000-ABYEE_1_1101_7891_15296|gene_18S	0	0	1	2	0	20	5	0	0	6	13	5	4	0	3	2	0	3	1	2	1	1	5	1	0	4	9	1
M01895_13_000000000-ABYEE_1_1102_7772_15691|gene_18S	0	0	7	0	0	0	20	2	0	1	0	0	0	0	3	0	0	0	0	0	35	0	1	0	0	2	1	0
M01895_13_000000000-ABYEE_1_1107_11281_2843|gene_18S	0	0	2	4	6	0	0	1	0	0	1	0	16	0	2	3	10	2	0	0	2	10	1	3	0	0	9	10
M01895_13_000000000-ABYEE_1_1102_6234_18289|gene_18S	0	0	0	0	0	0	0	1	0	0	2	2	68	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1110_10765_18501|gene_18S	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_15202_23747|gene_18S	0	0	8	9	0	0	3	3	9	13	4	0	1	1	0	0	1	7	2	1	5	12	3	2	0	17	1	16
M01895_13_000000000-ABYEE_1_1111_12867_26355|gene_18S	0	0	0	0	1	0	0	1	0	0	1	1	78	0	0	1	0	0	2	0	0	3	0	0	0	0	8	0
M01895_13_000000000-ABYEE_1_1103_21233_2955|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_22197_22570|gene_18S	1	0	1	2	0	0	4	70	52	14	9	5	0	0	0	0	0	17	0	0	3	54	9	25	2	35	6	1
M01895_13_000000000-ABYEE_1_2102_13560_12315|gene_18S	3	5	9	3	5	26	7	3	8	17	20	1	66	5	2	6	3	11	1	7	10	11	9	8	1	14	8	4
M01895_13_000000000-ABYEE_1_2106_14908_24206|gene_18S	0	0	1	0	0	0	0	0	10	0	0	3	43	1	0	1	0	0	1	0	0	0	0	0	0	2	2	1
M01895_13_000000000-ABYEE_1_1101_6854_20191|gene_18S	0	0	1	2	1	0	9	0	24	0	0	0	37	0	0	0	0	16	0	0	0	0	0	0	4	0	0	0
M01895_13_000000000-ABYEE_1_1110_15596_17165|gene_18S	0	0	0	2	5	0	1	2	34	0	2	14	21	10	18	0	0	0	8	0	0	0	0	0	17	0	1	2
M01895_13_000000000-ABYEE_1_1111_26367_21227|gene_18S	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2108_16795_26327|gene_18S	0	1	2	0	0	13	0	0	0	46	8	0	0	0	0	0	3	0	0	1	0	2	2	4	0	9	5	0
M01895_13_000000000-ABYEE_1_1101_9294_20966|gene_18S	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2104_21643_10025|gene_18S	3	1	2	2	2	7	5	0	0	2	4	0	7	1	0	4	2	5	0	3	8	1	2	2	0	5	5	2
M01895_13_000000000-ABYEE_1_1105_19444_5495|gene_18S	18	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_15663_18330|gene_18S	14	0	0	0	9	0	7	24	0	0	0	0	0	0	0	4	0	0	0	0	15	0	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_2103_16361_26218|gene_18S	0	5	9	3	5	26	2	1	0	9	18	2	79	0	0	10	1	3	1	1	1	5	12	18	2	6	13	4
M01895_13_000000000-ABYEE_1_1112_17278_13042|gene_18S	1	0	1	2	0	0	0	0	9	1	1	0	1	0	0	0	0	1	1	0	0	0	2	0	0	36	0	1
M01895_13_000000000-ABYEE_1_2103_4543_8724|gene_18S	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	66	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1105_6442_12979|gene_18S	9	0	3	0	1	0	0	4	0	0	3	0	6	0	0	6	4	1	3	7	17	10	1	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1102_4684_14793|gene_18S	0	1	1	4	2	0	2	0	15	10	13	6	2	5	4	0	4	2	7	1	0	2	0	0	14	6	3	20
M01895_13_000000000-ABYEE_1_1110_16344_8473|gene_18S	1	3	0	2	0	0	6	3	0	20	9	0	0	1	0	0	0	0	0	5	0	0	0	4	0	0	0	3
M01895_13_000000000-ABYEE_1_1101_3557_10525|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	0	0	0
M01895_13_000000000-ABYEE_1_2108_20348_16792|gene_18S	2	0	0	0	0	0	0	0	41	1	0	2	0	0	0	0	0	0	23	1	0	0	0	0	0	4	0	2
M01895_13_000000000-ABYEE_1_1101_5627_10705|gene_18S	0	0	0	0	0	0	0	0	11	0	0	0	78	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
M01895_13_000000000-ABYEE_1_1106_15646_22380|gene_18S	0	0	0	0	0	0	0	0	0	15	12	0	42	1	0	0	0	0	0	0	0	0	0	6	0	3	0	0
M01895_13_000000000-ABYEE_1_1108_13323_12643|gene_18S	0	0	0	0	0	33	0	0	0	2	6	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_10433_13555|gene_18S	0	0	2	2	1	0	3	3	6	0	1	2	3	0	3	6	2	4	0	0	4	13	7	0	1	13	11	2
M01895_13_000000000-ABYEE_1_2108_14668_18201|gene_18S	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	52	7	0	0	10	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_5598_17692|gene_18S	0	3	4	2	0	0	24	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_9286_3816|gene_18S	0	0	0	0	0	0	5	11	0	0	0	12	9	0	0	0	0	0	1	0	0	0	1	0	5	3	13	0
M01895_13_000000000-ABYEE_1_1103_16213_23630|gene_18S	7	7	6	5	4	10	4	14	11	37	78	8	35	2	5	15	3	3	7	2	4	14	8	0	7	40	18	15
M01895_13_000000000-ABYEE_1_1104_11062_18022|gene_18S	0	5	4	0	35	0	0	25	0	0	0	0	1	0	0	1	21	5	3	9	4	18	1	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1107_16352_20017|gene_18S	0	0	0	0	0	15	1	1	0	11	9	1	0	0	0	13	0	0	0	0	0	0	0	2	0	1	1	0
M01895_13_000000000-ABYEE_1_1110_22034_7063|gene_18S	5	7	7	10	2	4	1	34	343	20	37	172	381	1	1	3	0	202	0	1	0	2	7	8	94	18	86	71
M01895_13_000000000-ABYEE_1_2103_14695_12439|gene_18S	5	9	1	2	2	2	3	4	2	4	8	1	1	0	6	5	4	1	3	6	2	5	0	2	0	4	4	7
M01895_13_000000000-ABYEE_1_2102_11888_12652|gene_18S	433	3	630	8	11	282	8	1	14	83	7	5	2	5	920	9	1	2	1	1	0	1	4	0	0	4	4	3
M01895_13_000000000-ABYEE_1_2106_6271_14076|gene_18S	3	3	2	2	3	0	3	1	0	3	3	0	0	2	0	0	3	0	1	0	10	11	0	1	0	6	1	4
M01895_13_000000000-ABYEE_1_1111_14615_13262|gene_18S	0	0	0	1	0	0	0	0	10	0	0	0	0	6	0	0	1	0	0	0	4	5	0	0	0	0	0	11
M01895_13_000000000-ABYEE_1_2113_15262_6001|gene_18S	5	28	0	0	4	0	0	8	0	0	0	0	1	0	0	2	3	0	0	1	2	0	1	1	0	0	3	0
M01895_13_000000000-ABYEE_1_1103_26464_7741|gene_18S	4	4	2	3	6	5	6	2	4	6	10	4	93	1	1	6	2	2	5	3	1	4	6	2	8	27	17	4
M01895_13_000000000-ABYEE_1_1101_7313_11555|gene_18S	4	0	6	3	4	0	54	5	6	0	0	0	0	1	2	0	0	23	0	0	65	19	0	0	0	0	2	1
M01895_13_000000000-ABYEE_1_1111_6540_23200|gene_18S	0	4	0	0	0	33	11	0	0	9	2	0	0	0	0	0	0	2	0	0	0	1	0	8	0	1	0	0
M01895_13_000000000-ABYEE_1_1112_13334_26025|gene_18S	2	0	6	0	2	0	0	3	7	0	0	3	0	0	0	0	0	5	3	0	0	2	0	0	4	6	9	1
M01895_13_000000000-ABYEE_1_1110_4747_14982|gene_18S	52	833	18	61	86	19	10	303	2	7	11	4	16	2	9	234	15	108	1	21	52	105	30	74	1	15	39	61
M01895_13_000000000-ABYEE_1_1104_4457_10091|gene_18S	11	0	0	0	0	0	3	0	0	0	2	0	16	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0
M01895_13_000000000-ABYEE_1_1113_7955_20398|gene_18S	12	2	6	7	3	9	31	19	48	16	24	10	2	1	10	6	3	35	1	14	24	9	23	7	0	17	6	33
M01895_13_000000000-ABYEE_1_1101_18782_10181|gene_18S	4	0	8	8	0	1	7	1	8	4	11	1	0	4	8	1	2	1	4	2	2	2	7	1	9	25	2	1
M01895_13_000000000-ABYEE_1_2112_4630_17662|gene_18S	0	0	0	4	0	0	0	19	0	0	0	1	10	0	0	0	0	1	1	0	0	0	10	0	0	0	14	1
M01895_13_000000000-ABYEE_1_1106_15306_24797|gene_18S	0	0	0	0	1	0	51	0	0	1	0	0	0	0	0	0	0	5	0	2	0	0	2	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_22661_11602|gene_18S	4	12	6	0	0	20	0	1	0	2	33	0	1	0	0	9	1	0	0	6	0	1	4	6	0	0	2	0
M01895_13_000000000-ABYEE_1_1101_9562_7637|gene_18S	0	0	0	2	1	0	2	0	2	2	5	0	21	1	0	0	1	0	1	2	3	4	0	0	0	33	0	3
M01895_13_000000000-ABYEE_1_2109_19556_27738|gene_18S	0	0	0	0	0	0	4	0	4	18	2	0	0	1	0	0	0	0	0	0	1	13	2	0	0	0	2	2
M01895_13_000000000-ABYEE_1_1101_4561_10208|gene_18S	1	0	1	1	0	2	1	0	7	2	12	0	1	0	0	4	0	14	0	0	2	0	0	0	0	0	6	7
M01895_13_000000000-ABYEE_1_1103_9135_10943|gene_18S	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
M01895_13_000000000-ABYEE_1_1102_5283_15787|gene_18S	0	0	0	0	0	0	0	0	78	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	2	0	0	0
M01895_13_000000000-ABYEE_1_2111_12007_19506|gene_18S	0	13	0	0	0	26	0	0	0	5	6	0	1	0	0	15	0	0	0	2	0	0	3	2	0	1	2	3
M01895_13_000000000-ABYEE_1_1105_3637_18851|gene_18S	2	2	4	4	0	2	9	3	8	10	10	0	7	1	4	0	1	7	0	0	2	1	3	3	3	21	12	25
M01895_13_000000000-ABYEE_1_2106_25193_21703|gene_18S	0	5	5	0	0	2	3	1	1	1	9	0	1	0	0	5	0	0	0	2	0	0	0	1	0	5	6	2
M01895_13_000000000-ABYEE_1_1105_3420_13194|gene_18S	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_17701_23729|gene_18S	2	1	0	0	1	1	0	3	0	8	12	0	2	1	0	1	0	2	0	1	1	0	1	1	0	23	0	2
M01895_13_000000000-ABYEE_1_1102_20873_4481|gene_18S	10	11	4	0	0	0	1	2	0	0	1	0	0	0	0	8	2	0	0	5	0	0	0	1	0	0	2	0
M01895_13_000000000-ABYEE_1_1108_16300_17438|gene_18S	1	0	1	0	3	1	46	5	1	0	3	0	0	0	1	0	0	12	0	1	21	7	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_6239_23378|gene_18S	0	2	3	0	1	8	0	1	1	6	13	0	2	0	0	3	0	3	0	6	0	0	2	1	0	0	5	2
M01895_13_000000000-ABYEE_1_1107_17290_20475|gene_18S	1	8	19	1	0	0	10	0	0	0	3	1	2	0	3	5	1	0	0	11	2	0	2	2	0	0	0	1
M01895_13_000000000-ABYEE_1_1101_10941_10696|gene_18S	16	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	8	0	0	0	2	2	0	3	0	6	9
M01895_13_000000000-ABYEE_1_1101_3191_20557|gene_18S	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	45	0	0	0
M01895_13_000000000-ABYEE_1_1105_17308_11473|gene_18S	1	0	0	0	2	39	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1111_10888_17031|gene_18S	8	11	0	0	3	0	0	3	0	0	0	0	0	0	9	0	9	1	5	0	19	3	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1110_12298_16158|gene_18S	2	0	2	1	0	18	18	2	20	9	28	0	23	5	2	0	0	5	6	10	6	4	7	2	11	11	12	6
M01895_13_000000000-ABYEE_1_2111_3473_8728|gene_18S	6	18	5	0	2	7	5	2	1	4	16	0	0	2	0	0	4	3	0	6	0	3	1	1	0	3	2	2
M01895_13_000000000-ABYEE_1_1114_10333_18304|gene_18S	10	2	2	4	9	0	13	13	40	2	10	13	12	1	20	1	8	17	3	6	12	17	6	1	2	22	5	9
M01895_13_000000000-ABYEE_1_1102_18077_27147|gene_18S	0	22	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13275_6034|gene_18S	0	2	0	1	0	19	6	4	3	6	35	2	2	1	0	1	0	0	0	0	0	0	12	5	0	40	0	0
M01895_13_000000000-ABYEE_1_1103_17622_22263|gene_18S	9	1	1	1	0	6	28	7	1	0	8	8	0	2	0	0	2	3	0	3	8	8	4	3	1	9	2	3
M01895_13_000000000-ABYEE_1_1110_22928_10567|gene_18S	1	8	1	0	14	0	2	1	0	0	0	2	6	0	6	1	8	0	0	11	1	0	5	0	0	1	0	1
M01895_13_000000000-ABYEE_1_1101_7874_7409|gene_18S	0	0	0	0	0	1	1	33	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2107_20485_9948|gene_18S	0	0	2	1	2	1	1	1	0	0	3	1	0	0	0	39	0	0	0	0	6	5	7	14	0	40	0	0
M01895_13_000000000-ABYEE_1_1114_23529_18579|gene_18S	0	4	2	2	7	60	2	8	0	1	22	0	0	0	0	3	0	0	0	4	2	0	4	10	0	0	40	0
M01895_13_000000000-ABYEE_1_1105_16781_22118|gene_18S	2	0	5	37	4	12	20	2	1	1	8	2	27	1	34	1	6	3	3	4	3	0	8	0	1	26	17	9
M01895_13_000000000-ABYEE_1_2101_17171_12574|gene_18S	1	0	0	0	0	0	1	3	0	0	7	6	28	2	0	0	0	2	0	2	0	0	0	0	0	6	5	1
M01895_13_000000000-ABYEE_1_2111_8880_23846|gene_18S	0	7	4	3	0	0	3	1	0	5	1	1	0	0	0	4	1	4	0	3	1	0	1	0	0	1	4	2
M01895_13_000000000-ABYEE_1_2106_8901_21890|gene_18S	7	0	3	7	0	0	4	2	17	0	3	3	1	11	0	0	0	0	0	0	0	0	0	0	5	0	0	5
M01895_13_000000000-ABYEE_1_1107_3963_15543|gene_18S	0	0	2	0	1	0	6	0	0	6	3	3	34	1	0	0	0	1	0	0	0	1	1	0	3	6	1	2
M01895_13_000000000-ABYEE_1_1102_14480_6441|gene_18S	0	0	0	1	0	0	0	2	0	0	0	2	3	0	40	0	0	2	8	0	0	1	2	0	0	12	1	14
M01895_13_000000000-ABYEE_1_1111_3747_18580|gene_18S	0	0	1	0	2	2	7	2	0	6	1	2	19	0	0	0	0	0	0	1	0	0	1	1	0	27	0	0
M01895_13_000000000-ABYEE_1_1114_15351_15232|gene_18S	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	30	2	0
M01895_13_000000000-ABYEE_1_1109_6601_8139|gene_18S	0	2	0	0	0	0	0	0	0	0	0	47	0	0	0	1	0	0	1	1	0	44	0	0	0	0	0	23
M01895_13_000000000-ABYEE_1_1112_14513_8471|gene_18S	0	1	3	3	2	1	0	8	1	5	7	1	5	0	0	3	0	3	3	2	0	1	1	0	0	2	4	2
M01895_13_000000000-ABYEE_1_1103_7559_20368|gene_18S	16	0	0	0	0	0	0	8	0	0	0	0	0	7	7	0	0	0	0	0	15	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1107_10382_19425|gene_18S	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	20	0	3	0	0	0	0	0	23	1
M01895_13_000000000-ABYEE_1_1106_25139_15702|gene_18S	6	0	2	0	0	0	2	0	1	2	3	3	37	1	0	0	0	0	0	1	3	0	0	0	4	14	7	0
M01895_13_000000000-ABYEE_1_1103_6603_13716|gene_18S	0	4	0	0	0	17	1	0	0	5	19	0	0	0	0	9	0	0	0	0	0	0	7	12	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_12324_6967|gene_18S	0	2	0	0	1	0	1	0	0	2	11	0	0	0	0	6	1	0	0	3	1	0	0	0	0	3	14	0
M01895_13_000000000-ABYEE_1_2101_15447_10596|gene_18S	2	0	0	0	0	0	0	0	0	3	37	0	16	0	0	2	2	0	3	0	0	0	0	0	1	16	21	1
M01895_13_000000000-ABYEE_1_1110_9054_8970|gene_18S	0	0	1	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	11	0	0	17	0	0	0	6	0	13
M01895_13_000000000-ABYEE_1_1101_8098_5714|gene_18S	3	0	0	0	0	0	0	2	8	0	3	0	91	3	3	1	6	1	6	0	0	1	0	0	0	3	0	0
M01895_13_000000000-ABYEE_1_1105_12615_8261|gene_18S	1	10	5	0	6	1	0	10	0	0	0	0	30	0	2	1	1	25	1	6	6	10	1	4	2	3	3	16
M01895_13_000000000-ABYEE_1_2102_9404_14333|gene_18S	1	0	0	0	0	2	1	3	3	19	14	1	4	0	1	0	0	0	1	0	7	2	4	18	0	13	1	0
M01895_13_000000000-ABYEE_1_1109_26859_15166|gene_18S	0	9	0	0	0	2	0	5	0	17	18	3	17	1	0	3	6	1	0	7	0	1	1	5	0	10	6	2
M01895_13_000000000-ABYEE_1_1101_6531_16411|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
M01895_13_000000000-ABYEE_1_2108_4317_7538|gene_18S	2	4	3	8	0	4	2	0	4	28	25	2	3	2	5	1	1	6	1	0	1	6	12	12	2	26	10	13
M01895_13_000000000-ABYEE_1_1101_6723_24656|gene_18S	0	0	1	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2107_13413_12407|gene_18S	0	0	6	4	0	2	1	0	2	4	10	0	13	0	0	0	1	0	0	3	1	5	3	3	1	19	3	0
M01895_13_000000000-ABYEE_1_2107_18329_25593|gene_18S	0	0	0	0	0	14	0	0	0	5	12	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1104_8967_22438|gene_18S	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
M01895_13_000000000-ABYEE_1_1101_20183_8550|gene_18S	2	1	0	0	0	1	0	7	0	0	0	9	17	1	0	6	0	0	3	0	0	3	3	29	0	8	19	1
M01895_13_000000000-ABYEE_1_1112_25346_13353|gene_18S	0	0	0	3	4	0	4	6	63	4	0	12	0	4	11	0	5	8	0	0	5	0	0	2	0	7	6	1
M01895_13_000000000-ABYEE_1_1101_21566_18168|gene_18S	1	6	0	0	30	0	0	5	4	1	0	0	1	0	0	2	2	4	16	3	0	3	0	0	4	0	4	0
M01895_13_000000000-ABYEE_1_2103_18872_18823|gene_18S	0	0	0	0	0	63	0	0	0	14	49	0	0	0	0	1	0	0	0	0	0	0	0	6	0	3	0	0
M01895_13_000000000-ABYEE_1_1105_20749_25839|gene_18S	0	1	3	0	0	9	6	1	3	2	25	0	0	0	0	2	0	0	0	7	0	0	3	3	0	9	0	0
M01895_13_000000000-ABYEE_1_1109_14368_10300|gene_18S	0	0	2	14	0	0	8	0	4	1	0	2	2	0	0	0	0	9	0	6	0	3	4	0	0	2	2	3
M01895_13_000000000-ABYEE_1_2105_16546_16369|gene_18S	0	0	1	4	0	0	0	0	8	0	0	18	0	0	0	0	0	4	0	0	0	0	0	0	8	1	2	2
M01895_13_000000000-ABYEE_1_1103_24380_20065|gene_18S	0	0	0	0	0	0	3	1	0	24	13	0	6	0	0	0	0	0	0	0	0	0	3	1	0	12	2	0
M01895_13_000000000-ABYEE_1_1112_14541_11300|gene_18S	6	1	30	0	5	0	2	0	4	1	15	0	4	1	3	1	1	0	3	3	0	5	7	3	1	2	4	2
M01895_13_000000000-ABYEE_1_1109_14460_21735|gene_18S	0	0	4	3	0	0	2	9	23	2	0	4	0	9	0	0	0	4	12	0	0	0	1	0	0	4	0	13
M01895_13_000000000-ABYEE_1_1107_8284_17867|gene_18S	0	0	0	0	0	0	0	1	1	0	6	4	2	0	1	2	0	2	1	0	0	3	1	0	2	4	10	7
M01895_13_000000000-ABYEE_1_2103_2112_15247|gene_18S	5	16	1	0	8	0	0	23	0	0	0	0	0	0	0	3	0	6	0	1	0	3	1	1	0	0	2	1
M01895_13_000000000-ABYEE_1_2110_23763_12921|gene_18S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	31	0
M01895_13_000000000-ABYEE_1_1109_18562_14798|gene_18S	1	41	0	0	0	1	0	16	0	0	3	7	29	0	1	5	4	4	1	0	0	1	0	3	0	2	0	5
M01895_13_000000000-ABYEE_1_2112_15321_16372|gene_18S	9	9	6	4	4	2	14	2	11	6	4	4	14	0	11	11	1	0	3	10	13	15	9	3	3	12	4	2
M01895_13_000000000-ABYEE_1_1112_13157_25318|gene_18S	1	2	0	0	2	0	0	3	0	0	0	0	0	0	0	22	0	0	0	0	11	4	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_18789_16514|gene_18S	4	2	0	4	0	6	1	8	7	1	10	0	46	1	0	6	1	2	6	2	1	8	21	2	2	10	4	4
M01895_13_000000000-ABYEE_1_1106_23599_12220|gene_18S	0	0	0	2	0	0	0	1	0	3	2	0	68	6	0	0	0	2	1	0	3	1	0	1	0	5	0	0
M01895_13_000000000-ABYEE_1_1110_14134_14130|gene_18S	3	14	0	0	1	1	1	0	1	6	3	0	0	0	0	3	0	1	0	0	0	7	1	0	0	7	1	1
M01895_13_000000000-ABYEE_1_2105_4764_14430|gene_18S	0	0	1	0	0	0	19	0	0	6	3	3	3	0	0	0	0	0	0	0	0	0	3	3	1	9	0	3
M01895_13_000000000-ABYEE_1_2106_5938_12069|gene_18S	8	5	4	0	0	7	9	9	2	36	25	1	33	1	2	5	0	1	1	3	4	0	6	3	4	30	10	16
M01895_13_000000000-ABYEE_1_1101_4757_15600|gene_18S	0	0	0	0	1	0	0	0	0	18	1	6	67	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
M01895_13_000000000-ABYEE_1_1103_10263_12040|gene_18S	0	3	2	0	3	0	3	3	2	0	3	4	4	0	11	0	0	12	0	1	1	0	1	0	0	4	0	2
M01895_13_000000000-ABYEE_1_1105_20653_24707|gene_18S	0	6	4	1	0	0	4	1	2	1	1	0	1	0	1	0	0	12	0	0	0	0	1	0	1	14	3	2
M01895_13_000000000-ABYEE_1_1103_14865_15547|gene_18S	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0
M01895_13_000000000-ABYEE_1_1101_21335_4054|gene_18S	2	0	0	0	0	0	0	0	0	21	0	0	37	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
M01895_13_000000000-ABYEE_1_1103_14101_5817|gene_18S	0	5	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_16727_21647|gene_18S	30	0	1	4	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_16141_7893|gene_18S	0	29	1	0	0	1	5	0	0	1	13	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1102_6863_4603|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13413_4086|gene_18S	0	0	0	0	0	35	16	6	0	48	15	0	0	0	0	0	0	0	0	0	0	4	0	25	0	19	0	0
M01895_13_000000000-ABYEE_1_1101_4318_14227|gene_18S	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2114_18022_19627|gene_18S	0	0	0	0	0	0	15	1	7	9	7	2	1	0	0	0	0	0	0	0	0	0	1	1	0	25	1	0
M01895_13_000000000-ABYEE_1_1105_6800_6790|gene_18S	0	20	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_2102_24935_21237|gene_18S	2	3	3	1	3	11	12	13	6	5	26	3	3	1	3	3	1	11	2	2	0	0	0	13	1	8	6	5
M01895_13_000000000-ABYEE_1_1105_25604_7398|gene_18S	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	2	0	3	2	0
M01895_13_000000000-ABYEE_1_1102_21042_10850|gene_18S	0	9	4	4	0	1	8	3	8	5	12	1	7	1	2	17	4	2	0	9	2	0	3	0	2	25	8	2
M01895_13_000000000-ABYEE_1_1102_20777_20389|gene_18S	0	50	1	0	0	0	0	10	0	0	0	0	0	1	0	5	0	0	0	0	0	0	2	0	0	0	3	0
M01895_13_000000000-ABYEE_1_2109_11697_24181|gene_18S	4	3	0	5	1	3	0	0	2	5	12	0	4	0	2	0	1	26	3	0	1	0	0	1	3	0	0	6
M01895_13_000000000-ABYEE_1_1110_26890_11977|gene_18S	3	1	2	4	2	1	0	0	9	7	6	0	2	0	9	1	14	6	4	0	3	2	0	4	0	16	5	4
