OTU_id	CM30c60-A	CM30c37-L	CM30c28-N	CM30c28-P	CM30c60-B	Plot04-A	Plot08-I	CM30b58-C	CM30c30-L	CM30b60-M	Plot03-N	LB5-A	CM30c53-I	CM30c62-D	Plot07-N	CM30c37-E	Plot07-M	Plot05-I	CM30c39-A	LB1-E	CM30c30-N	CM30c62-M	CM30d12-L	Plot03-H	CM30c44-B	CM30c39-E	LB1-A	CM30c51-H	Plot08-O	CM30c35-D	CM30b60-E	CM30c-O	CM30c46-O	CM30b51-B	CM30b58-I	CM30d12-H	LB5-I	CM30c44-C	CM30d3-D	CM30d3-L	CM30c51-I	CM31a5-B	Plot05-N	Plot01-B	CM31a5-A	Plot04-N	CM30c53-B	CM30c35-B	Plot06-N	Plot06-I	Plot02-C	Plot01-L	CM30c46-D	Plot02-M	CM30c-P	CM30b51-M
M01895_13_000000000-ABYEE_1_1112_8215_4982|gene_ITS	193	177	0	3	1411	0	3	0	0	2594	3	0	5	1	11653	8112	3675	2	317	921	3	1	1339	2	57	12	26	7582	0	5	8395	1	0	5	36	2	1249	291	7662	1	800	2	1392	45	0	2	0	0	2766	238	1	0	2	0	3	1
M01895_13_000000000-ABYEE_1_2108_13105_27082|gene_ITS	2	11	0	0	74	3	0	0	0	76	0	1	16	0	2	5	0	0	14	3	0	0	130	11	0	45	0	735	0	11	141	0	0	16	0	0	13	0	12	0	1512	0	0	0	0	0	0	0	22320	33	0	0	5	2	0	0
M01895_13_000000000-ABYEE_1_1113_22759_9921|gene_ITS	0	0	16	95	0	3	1	2	7322	2	0	5613	426	2	0	0	0	0	0	0	733	2	0	1	0	0	667	2	0	1	0	0	4	0	0	0	1465	0	1	17	1	0	0	0	0	0	41014	3	2	4	1	0	3679	1	0	6
M01895_13_000000000-ABYEE_1_1101_15077_10561|gene_ITS	0	1	0	3	0	0	1	0	0	0	0	11	0	0	0	0	0	0	1	0	1	1	0	3	0	1	12	0	2099	0	2	0	23442	0	0	0	0	203	1	98	0	0	0	0	0	0	14	7	0	9	3	0	692	0	0	7
M01895_13_000000000-ABYEE_1_2103_24992_16235|gene_ITS	0	1	0	1	2	1525	3	0	2	3235	0	0	0	2	6317	2	8109	0	0	10721	0	0	5	0	1	0	0	0	0	1	695	0	0	0	13	0	2	1	0	0	311	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1
M01895_13_000000000-ABYEE_1_1101_12399_2356|gene_ITS	1	0	0	0	0	0	0	9198	0	1	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	4	22208	0	1	2	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1101_12883_1728|gene_ITS	4198	0	18	696	7	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0	297	1	0	0	0	1	0	0	0	0	3918	0	1	1	1	0	0	7	0	2	9252	1	0	625	0	3	0	0	0	0	1	0	0	1	0
M01895_13_000000000-ABYEE_1_1101_15393_1993|gene_ITS	7210	42	1	2	2436	0	0	2	0	649	0	0	0	0	3	607	1	2	30	0	2	1	60	0	2	174	1	4161	0	0	0	1	0	0	1	2	0	0	0	0	1217	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_4806_7122|gene_ITS	0	0	2	1	4	12	2	1	3	2	199	0	1	10836	0	0	1	3207	5	0	0	0	0	2	1	0	3	832	0	1	0	47	0	3	1559	2	0	0	2	0	582	130	473	13	109	0	0	1	82	0	0	4	0	1626	4992	0
M01895_13_000000000-ABYEE_1_1101_16606_1496|gene_ITS	0	0	0	1	0	3	2	0	13940	1	0	40	0	0	0	0	0	0	0	0	148	0	0	0	0	0	517	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
