OTU_id	CM30c28-P	Plot05-I	CM30c46-O	CM30b58-I	CM30c60-B	LB5-I	CM31a5-A	CM30c-O	Plot05-N	CM30d3-D	CM30c44-C	CM30c39-E	CM30c30-L	CM30c53-I	CM30b60-M	CM30c39-A	CM30b51-B	CM30d12-H	CM30c53-B	CM30c30-N	Plot03-N	CM30d12-L	Plot08-I	Plot06-I	Plot02-C	Plot03-H	Plot01-L	CM30c35-D	Plot08-O	LB5-A	CM30c60-A	Plot04-N	CM30b60-E	CM30c28-N	CM30c37-L	CM30c62-D	CM31a5-B	CM30c37-E	CM30c44-B	CM30d3-L	Plot01-B	LB1-E	Plot02-M	CM30b51-M	Plot07-M	LB1-A	CM30c-P	Plot06-N	CM30c46-D	Plot07-N	CM30c51-I	CM30c35-B	Plot04-A	CM30c51-H	CM30b58-C	CM30c62-M
M00598_54_000000000-ABCWN_1_1101_10582_1732|gene_26S	10008	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_8649_14552|gene_26S	0	65	1	51	6	60	0	0	1362	230	211	0	0	1	524	2314	1999	23	31	1	2	19	1	12	0	126	284	0	3	0	36	20	5420	0	566	11	0	13	301	362	37	57	4	2	30	0	1	1150	0	55	178	0	68	897	0	2
M00598_54_000000000-ABCWN_1_1101_23589_16981|gene_26S	0	0	0	0	0	80	0	0	0	0	1	0	179	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2403	0	0	0	0	5048	0	0	0	0	0	1	0
M00598_54_000000000-ABCWN_1_2117_13970_11505|gene_26S	0	0	0	0	0	0	0	0	1	0	6644	1	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	2	0	0	0	0	0	6228	0	0	0	0	3100	83	0	292	0	0	0
M00598_54_000000000-ABCWN_1_1105_16334_21057|gene_26S	334	593	1164	383	287	414	1516	130	326	284	252	1583	3	2040	964	179	208	1049	700	300	80	2401	1879	387	928	478	24	1127	1850	4	231	204	1052	556	430	1495	1284	1291	189	837	21	179	8098	10	572	167	823	91	107	888	396	1062	24	37	273	1694
M00598_54_000000000-ABCWN_1_1102_23763_12640|gene_26S	0	185	568	96	156	2	0	0	508	2	29	1	0	60	29	2511	84	44	22	15	0	673	101	1	1	235	1	29	931	0	6	0	1595	0	34	51	0	169	7	341	0	0	155	0	283	0	0	295	12	168	3	4	44	955	3	0
M00598_54_000000000-ABCWN_1_1101_16809_2177|gene_26S	0	0	0	0	0	7961	0	0	0	0	3562	15	6	389	0	0	1	1	0	0	0	335	1	5	0	0	0	0	0	23	0	205	61	1	0	1	0	0	554	0	0	0	0	8	0	93	0	0	0	0	0	0	4	0	1	0
M00598_54_000000000-ABCWN_1_1101_13741_2390|gene_26S	1	1216	31	3	4	0	8	16	1081	23	328	261	0	0	1	581	174	0	0	0	2	1	8	167	141	122	0	431	675	0	136	0	0	0	56	0	19	553	648	1	97	0	11	1	581	0	57	289	1	3443	75	1165	9	1339	3	0
M00598_54_000000000-ABCWN_1_2104_13358_4046|gene_26S	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	1	5	0	0	0	0	273	0	7299	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	201	0	0	0	2	0	0	0	0	0	0	6	0	0	0
M00598_54_000000000-ABCWN_1_1102_8513_10194|gene_26S	0	0	0	0	42	0	0	0	0	0	192	95	0	0	0	588	0	0	1	0	0	0	0	1	4	0	0	0	0	0	4	0	60	0	0	0	0	938	191	0	37	0	0	0	430	0	0	196	0	589	2462	0	0	1753	0	1
M00598_54_000000000-ABCWN_1_1104_16453_4477|gene_26S	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2751	1	1	0	0	0	31	0	5934	1	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_17536_1343|gene_26S	0	0	0	0	0	0	0	0	1	0	2	0	0	0	6994	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_19047_19765|gene_26S	64	137	214	132	193	102	190	145	799	282	618	440	8	122	227	144	160	125	49	47	55	364	391	145	748	2581	223	5	1679	8	23	342	615	7	183	68	118	494	121	50	192	153	48	8	69	17	277	86	1	54	69	22	39	584	92	62
M00598_54_000000000-ABCWN_1_2109_13312_18961|gene_26S	44	2	1	0	25	535	1	194	0	5	1	0	215	235	3	0	9	38	238	0	19	78	13	132	0	0	2	0	34	2	1	204	0	467	251	0	1	1338	0	5307	0	0	0	48	0	91	463	2	39	0	544	0	30	3	2	66
M00598_54_000000000-ABCWN_1_2116_21888_5477|gene_26S	0	0	0	0	2	1	0	0	0	1	0	0	581	2	0	0	0	0	0	530	0	0	0	0	0	0	0	0	0	48	0	0	0	11	0	0	0	0	0	0	0	1	0	16	0	19	2	0	6045	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_20113_19622|gene_26S	4	1	0	0	0	641	1	0	0	0	1	0	41	2721	1	0	1	1188	2002	1865	1	11	36	1858	0	0	0	0	0	1	1	14	2	1597	0	0	0	0	0	315	0	332	0	10115	1	5334	1	0	179	1	0	0	0	0	0	1
M00598_54_000000000-ABCWN_1_1101_24663_4365|gene_26S	838	0	0	482	0	0	0	1173	0	0	1	0	0	0	0	0	0	0	0	0	5338	0	1	0	0	2	0	0	0	0	0	0	0	1656	0	0	0	1	0	0	1	0	0	1	0	0	315	0	0	0	0	297	0	9	631	0
M00598_54_000000000-ABCWN_1_1111_16168_17171|gene_26S	0	1	0	0	1	34	0	0	0	0	0	0	0	0	24	924	0	310	0	0	0	1	4905	1	0	0	0	0	0	0	0	28	0	0	1278	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	18	0	219
M00598_54_000000000-ABCWN_1_1101_18681_5158|gene_26S	0	0	4957	0	0	0	0	0	0	0	1	0	0	133	14	0	0	778	149	43	0	660	0	0	1	7	1	0	92	0	0	142	10	0	0	0	0	0	0	0	0	49	0	94	0	3	0	4	581	0	0	0	13	0	0	0
M00598_54_000000000-ABCWN_1_2101_6183_10181|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6189	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_10675_2822|gene_26S	0	196	0	106	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	1	0	0	1	0	8	0	830	1	0	1	0	0	0	4515	0	0	0	0	2	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1101_20039_9979|gene_26S	0	0	0	0	854	1405	0	0	0	0	0	0	0	0	0	0	0	2859	152	138	0	0	2	0	0	0	0	0	0	3	0	303	0	0	46	2	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	2	0	1	0
M00598_54_000000000-ABCWN_1_1101_9196_3464|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3863	0	1	0	431	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_23756_3949|gene_26S	3	0	94	0	0	0	0	0	267	0	7	0	0	0	0	0	0	0	0	0	0	172	13	0	0	23	0	27	234	0	0	0	0	0	20	0	0	4960	0	1	0	0	0	0	23	0	2	262	0	6	0	0	0	0	0	0
