CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1105_8142_14341|gene_16S	17	263	400	401	435	946	680	22	642	200	514	558	651	767	1279	840	212	750	1906	393	276	408	847	236	35	816	377	179
M00598_54_000000000-ABCWN_1_1101_10742_6274|gene_16S	1355	150	52	621	377	120	72	580	1749	1261	1459	116	15	198	130	359	296	349	99	195	92	585	505	976	744	111	224	123
M00598_54_000000000-ABCWN_1_1104_27363_11830|gene_16S	14	4	1792	176	229	1396	295	13	22	11	81	478	1834	789	830	583	138	1097	3224	785	212	683	31	183	1	1454	157	159
M00598_54_000000000-ABCWN_1_2105_15881_13476|gene_16S	152	368	296	57	595	415	143	123	266	110	837	133	385	495	223	146	408	522	588	276	122	280	120	63	35	367	124	174
M00598_54_000000000-ABCWN_1_1101_29640_12230|gene_16S	928	218	126	388	527	99	14	561	1283	977	206	66	124	303	254	403	195	246	201	211	174	715	449	718	773	129	120	198
M00598_54_000000000-ABCWN_1_1113_20329_15254|gene_16S	671	169	182	220	580	522	46	348	1108	946	439	123	53	479	359	331	290	264	210	95	120	445	590	239	350	283	352	384
M00598_54_000000000-ABCWN_1_1102_15261_19903|gene_16S	606	204	9	114	82	67	6	606	478	355	2325	38	3	58	8	107	174	261	9	76	38	129	169	148	248	44	192	80
M00598_54_000000000-ABCWN_1_1110_9661_10787|gene_16S	30	11	261	227	133	215	129	43	992	463	228	298	63	165	347	243	111	137	418	130	38	140	105	144	26	99	117	19
M00598_54_000000000-ABCWN_1_1119_22144_14731|gene_16S	3	15	297	137	104	461	442	18	45	20	16	221	371	297	187	105	137	276	689	367	60	174	15	45	10	440	24	25
M00598_54_000000000-ABCWN_1_1102_10819_14811|gene_16S	0	4	112	71	146	355	118	2	94	75	21	95	47	245	106	198	51	240	283	60	49	150	111	37	2	323	40	18
M00598_54_000000000-ABCWN_1_2106_15121_18956|gene_16S	56	143	68	217	202	672	5	57	488	99	108	155	0	227	9	348	178	156	728	233	96	214	843	584	58	5	163	135
M00598_54_000000000-ABCWN_1_2117_20881_4790|gene_16S	4	53	158	10	290	134	1113	46	329	32	32	22	256	341	634	219	54	299	358	440	115	409	22	7	5	454	24	82
M00598_54_000000000-ABCWN_1_1102_8590_15473|gene_16S	2	2	925	173	11	1685	1	0	81	34	29	230	114	248	22	278	370	379	416	0	12	39	215	265	24	315	87	99
M00598_54_000000000-ABCWN_1_2104_15557_18013|gene_16S	5	387	616	126	1102	724	683	28	554	407	270	151	444	560	757	219	443	342	557	455	184	622	425	12	7	327	552	571
M00598_54_000000000-ABCWN_1_1116_18217_3397|gene_16S	41	228	53	182	237	68	4	44	532	228	291	79	16	116	31	144	79	185	88	27	17	163	251	349	84	60	184	114
M00598_54_000000000-ABCWN_1_1104_11500_13051|gene_16S	531	249	147	458	624	301	350	416	1578	500	1007	467	111	396	297	508	302	632	356	737	161	632	355	474	272	464	268	185
M00598_54_000000000-ABCWN_1_1101_14159_3942|gene_16S	28	124	49	321	205	88	65	116	203	146	149	333	29	156	96	218	79	166	111	227	23	120	127	184	8	122	59	46
M00598_54_000000000-ABCWN_1_1102_23837_5674|gene_16S	277	71	108	461	201	240	423	335	338	577	220	183	86	148	174	508	215	243	140	415	82	241	420	709	327	178	54	33
M00598_54_000000000-ABCWN_1_2104_18308_9711|gene_16S	4	1	23	481	184	94	0	0	32	166	0	221	0	80	2	247	24	24	0	21	0	26	218	970	37	43	67	79
M00598_54_000000000-ABCWN_1_1101_16239_14767|gene_16S	58	179	170	167	302	454	76	44	518	126	430	144	79	471	453	343	300	226	481	172	155	170	624	194	28	170	375	235
M00598_54_000000000-ABCWN_1_1107_12635_13971|gene_16S	162	292	57	397	275	932	22	332	518	265	372	305	43	418	156	853	323	420	967	842	94	289	911	541	127	172	82	156
M00598_54_000000000-ABCWN_1_1117_14916_23010|gene_16S	4	67	110	75	230	106	312	6	120	85	97	117	156	134	372	182	109	351	461	89	63	326	193	27	1	396	27	51
M00598_54_000000000-ABCWN_1_1101_25469_11510|gene_16S	325	86	101	264	141	210	268	558	476	212	272	130	75	184	335	520	150	242	94	438	241	284	298	346	235	168	45	46
M00598_54_000000000-ABCWN_1_1108_7084_6947|gene_16S	833	301	22	500	390	99	12	774	844	636	1081	57	17	181	48	478	218	299	144	189	103	335	431	897	756	66	366	226
M00598_54_000000000-ABCWN_1_1114_9876_7263|gene_16S	6	12	109	69	152	129	279	24	267	86	74	115	92	167	203	70	52	172	345	144	33	167	23	40	3	139	36	14
M00598_54_000000000-ABCWN_1_1102_15965_24063|gene_16S	194	178	193	528	675	524	4	96	1500	592	493	215	1	613	227	518	221	254	198	65	111	396	663	818	232	184	773	213
M00598_54_000000000-ABCWN_1_2114_12857_15785|gene_16S	20	49	141	232	444	265	214	13	351	209	140	228	155	364	159	153	524	250	368	112	94	166	96	159	35	197	179	30
M00598_54_000000000-ABCWN_1_2104_13277_7020|gene_16S	1	88	159	21	523	92	21	12	8	35	56	54	80	220	37	51	141	179	215	570	40	169	12	15	0	141	162	137
M00598_54_000000000-ABCWN_1_1113_19278_13055|gene_16S	2	1	822	18	84	1222	26	5	1	0	2	45	1442	144	27	71	14	539	1722	250	38	340	0	16	0	536	17	26
M00598_54_000000000-ABCWN_1_1102_13634_10094|gene_16S	5	8	524	95	154	804	14	9	18	15	39	218	490	545	504	335	87	460	894	126	193	401	40	150	1	559	126	205
