CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1102_10741_11209|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2112_19280_16833|gene_16S	0	2	18	6	11	53	15	0	1	1	10	16	19	20	25	43	5	15	25	32	6	4	9	19	0	9	33	0
M00598_54_000000000-ABCWN_1_1101_22885_20571|gene_16S	6	0	0	6	0	0	2	0	9	6	1	1	0	0	3	6	0	8	1	7	0	4	2	5	2	0	0	0
M00598_54_000000000-ABCWN_1_2112_22460_18404|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_22228_9261|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_12634_18149|gene_16S	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_15980_2061|gene_16S	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2117_26517_14344|gene_16S	0	0	5	2	0	0	39	0	0	0	0	0	24	0	53	0	0	0	16	0	0	1	0	10	0	2	1	0
M00598_54_000000000-ABCWN_1_2117_14960_9650|gene_16S	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_24006_10823|gene_16S	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	14	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_14199_7232|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_25210_7739|gene_16S	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_10576_3494|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2101_21730_2129|gene_16S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2112_14608_21683|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_17261_11932|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_25686_5578|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_15784_5835|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2112_16957_17842|gene_16S	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	2	0	2	0	0
M00598_54_000000000-ABCWN_1_2117_17921_15079|gene_16S	0	0	1	2	0	0	0	0	0	0	0	4	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2110_21227_15363|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_19430_17501|gene_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_19124_13012|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_12296_17764|gene_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2118_26087_11995|gene_16S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M00598_54_000000000-ABCWN_1_2110_17931_5583|gene_16S	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2110_23389_18321|gene_16S	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	46	0	0	0	0	0	0	4	4	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_17349_6179|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2118_11685_11156|gene_16S	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	2	0	1	0	0	1	0	4	0	0	0	1	1
M00598_54_000000000-ABCWN_1_2118_18084_15454|gene_16S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2110_24520_20005|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_15945_20113|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1112_26140_10233|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_9024_13935|gene_16S	5	4	0	0	5	3	7	6	2	0	18	0	5	4	11	7	10	2	1	0	18	2	7	1	2	0	1	0
M00598_54_000000000-ABCWN_1_1104_16506_18135|gene_16S	0	0	6	2	0	14	0	0	3	2	3	0	4	0	4	0	2	4	3	2	3	4	1	1	0	4	0	1
M00598_54_000000000-ABCWN_1_1112_13928_9824|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_21450_3373|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_14947_20293|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_24186_19593|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_13178_19078|gene_16S	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	3	0	0	2	9	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2103_12574_3861|gene_16S	0	0	0	0	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_14587_16193|gene_16S	7	0	1	4	0	3	0	1	6	0	3	0	0	0	0	1	0	0	5	1	1	0	2	2	6	0	0	5
M00598_54_000000000-ABCWN_1_1104_19773_19486|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2113_24155_5260|gene_16S	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_23784_18865|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_20631_22958|gene_16S	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_18642_13048|gene_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_16020_14198|gene_16S	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_9822_3743|gene_16S	1	1	0	0	1	0	0	3	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_15008_2383|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_8498_12262|gene_16S	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_1114_23121_22479|gene_16S	0	0	0	4	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0
M00598_54_000000000-ABCWN_1_1103_26935_13573|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_22758_11831|gene_16S	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_9522_21029|gene_16S	0	0	0	1	0	0	3	0	3	0	2	0	1	0	3	1	1	1	0	1	0	1	0	1	0	2	1	0
M00598_54_000000000-ABCWN_1_2115_27887_6612|gene_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_8866_20690|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_19136_2495|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_23071_18294|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2113_24763_5801|gene_16S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	1	0	1	0	0
M00598_54_000000000-ABCWN_1_1107_27938_8285|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_25347_12936|gene_16S	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_17689_21618|gene_16S	0	0	0	0	0	0	0	0	1	2	2	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_13929_12497|gene_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	1
M00598_54_000000000-ABCWN_1_2102_25371_12379|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_23680_5936|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_15448_10683|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_28043_18576|gene_16S	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
M00598_54_000000000-ABCWN_1_2115_25035_7865|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2107_14475_9682|gene_16S	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_27717_7382|gene_16S	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_12186_18249|gene_16S	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_21130_19908|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_16943_19445|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2101_15220_16129|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_19490_20964|gene_16S	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_20297_14178|gene_16S	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2107_14913_10227|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_13060_5090|gene_16S	0	0	0	3	0	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0
M00598_54_000000000-ABCWN_1_2106_22820_17604|gene_16S	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2113_7185_15608|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2113_17717_14445|gene_16S	0	0	26	0	3	16	1	0	0	0	0	0	15	6	0	0	0	20	14	0	0	8	0	2	0	28	0	0
M00598_54_000000000-ABCWN_1_2107_14070_2668|gene_16S	29	2	0	5	1	0	0	49	5	41	4	3	0	2	0	8	3	4	3	2	0	4	1	10	10	0	3	9
M00598_54_000000000-ABCWN_1_2105_19314_24482|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1108_21743_13181|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1108_19832_9823|gene_16S	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2111_8893_13002|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2114_8265_13253|gene_16S	1	4	0	0	5	0	6	0	4	0	4	0	0	5	0	1	5	1	2	0	0	1	5	2	0	1	2	2
M00598_54_000000000-ABCWN_1_2102_8438_8299|gene_16S	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_20488_11473|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_12750_12999|gene_16S	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2117_12023_13255|gene_16S	18	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0
M00598_54_000000000-ABCWN_1_2114_12645_12969|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_13096_12440|gene_16S	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2111_13576_8099|gene_16S	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
M00598_54_000000000-ABCWN_1_2116_25664_17136|gene_16S	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	7	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_17539_16937|gene_16S	0	0	1	2	0	0	16	2	3	4	0	2	0	1	3	4	0	4	6	8	0	7	1	1	1	12	0	1
M00598_54_000000000-ABCWN_1_2115_8188_11274|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_18000_10714|gene_16S	0	0	2	2	0	2	0	0	0	0	2	1	0	0	0	2	1	0	3	0	0	0	12	0	0	0	2	0
M00598_54_000000000-ABCWN_1_2103_18274_12030|gene_16S	0	0	5	2	0	1	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	2	0	5	0	0	0	0
M00598_54_000000000-ABCWN_1_2111_24323_6994|gene_16S	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_13396_9797|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_16529_7827|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_9696_16026|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2119_8964_7831|gene_16S	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	3	0	0	0	1	0	1	0	0
M00598_54_000000000-ABCWN_1_1102_11448_18669|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1116_28632_10587|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_28417_15156|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2113_12782_12692|gene_16S	0	0	0	3	0	0	1	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	1	1	3	0	0	0
M00598_54_000000000-ABCWN_1_2103_21164_14736|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_24411_13209|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_6926_13997|gene_16S	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_19127_13322|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_21990_3498|gene_16S	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_18659_10543|gene_16S	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1
M00598_54_000000000-ABCWN_1_1113_15747_7367|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2103_13259_10519|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_15621_3636|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1113_4993_9942|gene_16S	1	1	0	3	1	0	0	1	1	6	1	2	0	0	0	1	0	0	0	2	0	4	1	5	2	2	0	0
M00598_54_000000000-ABCWN_1_1113_21609_12818|gene_16S	0	0	0	0	7	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2112_27507_11823|gene_16S	0	1	2	6	1	3	0	1	2	3	6	4	0	6	2	6	2	2	3	0	1	1	5	5	0	7	4	0
M00598_54_000000000-ABCWN_1_2103_10227_22199|gene_16S	0	0	2	1	4	1	0	0	0	0	0	2	1	0	1	0	2	1	0	1	0	0	0	5	0	1	0	0
M00598_54_000000000-ABCWN_1_2115_9558_15272|gene_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_18589_22961|gene_16S	0	1	36	0	8	0	0	0	0	1	0	1	7	0	0	0	0	10	88	1	0	7	0	0	0	9	1	1
M00598_54_000000000-ABCWN_1_2116_14831_1986|gene_16S	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2113_11965_2960|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2116_13680_3492|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_24220_3694|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2116_18890_3344|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1107_5701_18433|gene_16S	11	5	17	6	8	49	61	10	16	4	29	7	10	46	28	15	4	50	54	28	4	32	12	4	5	42	5	20
M00598_54_000000000-ABCWN_1_2101_10211_17312|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_20528_20591|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2104_25948_7438|gene_16S	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
M00598_54_000000000-ABCWN_1_2107_16649_15393|gene_16S	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_25183_4113|gene_16S	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2102_21322_3219|gene_16S	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_5687_16644|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_15794_13806|gene_16S	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2103_26551_16362|gene_16S	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_11599_17354|gene_16S	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2117_19054_13541|gene_16S	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_25478_18522|gene_16S	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2112_21728_18528|gene_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1111_20408_14604|gene_16S	35	17	3	20	11	7	0	36	29	38	47	4	0	8	4	31	11	20	6	12	4	16	16	40	10	3	9	7
M00598_54_000000000-ABCWN_1_1111_10024_14667|gene_16S	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_24711_5466|gene_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
M00598_54_000000000-ABCWN_1_2115_25503_13230|gene_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2114_12928_6364|gene_16S	0	2	25	1	3	10	11	0	0	0	0	13	19	5	19	1	0	9	37	38	2	8	1	0	0	3	0	0
M00598_54_000000000-ABCWN_1_2106_14364_11675|gene_16S	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_18486_12863|gene_16S	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1115_24347_7275|gene_16S	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1104_24842_13873|gene_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1103_15850_6831|gene_16S	3	5	1	29	2	0	2	1	2	10	9	17	0	1	1	9	1	2	0	1	1	1	4	8	3	3	4	4
M00598_54_000000000-ABCWN_1_1112_18959_14776|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2105_17686_12577|gene_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
