	plot1	plot2	lat1	lat2	long1	long2	dist
1	CM30b51	CM30b58	-0.631442670079029	-0.63214798450783	3.05603661365703	3.05523488270249	6097.68497855074
2	CM30b51	CM30b60	-0.631442670079029	-0.631512483249108	3.05603661365703	3.05614133341215	698.442549001945
3	CM30b51	CM30c	-0.631442670079029	-0.631879321961813	3.05603661365703	3.05542450399908	4200.52646030723
4	CM30b51	CM30c28	-0.631442670079029	-0.631844354988381	3.05603661365703	3.05538126870285	4231.26278078368
5	CM30b51	CM30c30	-0.631442670079029	-0.631833155385104	3.05603661365703	3.0555743073541	3440.86817077496
6	CM30b51	CM30c35	-0.631442670079029	-0.631923972720067	3.05603661365703	3.05527989125324	4953.8700085815
7	CM30b51	CM30c37	-0.631442670079029	-0.631921129753248	3.05603661365703	3.05547238361645	4208.09544720308
8	CM30b51	CM30c39	-0.631442670079029	-0.631917920965419	3.05603661365703	3.0556668063138	3575.34371579958
9	CM30b51	CM30c44	-0.631442670079029	-0.632002277789622	3.05603661365703	3.05538288662306	4899.81619241708
10	CM30b51	CM30c46	-0.631442670079029	-0.631995644316734	3.05603661365703	3.0555756791829	4245.92553695918
11	CM30b51	CM30c51	-0.631442670079029	-0.632082163778414	3.05603661365703	3.05528422316045	5618.07924458085
12	CM30b51	CM30c53	-0.631442670079029	-0.632071728280283	3.05603661365703	3.05547906124616	4927.38269204515
13	CM30b51	CM30c60	-0.631442670079029	-0.632158008980922	3.05603661365703	3.05538386575277	5659.69344950275
14	CM30b51	CM30c62	-0.631442670079029	-0.63214505793974	3.05603661365703	3.05557806679331	5057.92126205904
15	CM30b51	CM30d12	-0.631442670079029	-0.6316718243049	3.05603661365703	3.05614667761032	1565.80297069855
16	CM30b51	CM30d3	-0.631442670079029	-0.631594282293293	3.05603661365703	3.05604717813499	967.447879604154
17	CM30b51	CM31a5	-0.631442670079029	-0.632214390097078	3.05603661365703	3.05548980374771	5663.56905345403
18	CM30b51	LB1	-0.631442670079029	-0.631794998124332	3.05603661365703	3.05564278883796	3023.10940719616
19	CM30b51	LB5	-0.631442670079029	-0.631692756038619	3.05603661365703	3.05592190363727	1698.97453191775
20	CM30b51	Plot01	-0.631442670079029	-0.632239483393866	3.05603661365703	3.05554503818255	5670.76486139099
21	CM30b51	Plot02	-0.631442670079029	-0.632129024123501	3.05603661365703	3.05555423083172	5027.09178744817
22	CM30b51	Plot03	-0.631442670079029	-0.632101964538778	3.05603661365703	3.05561148810316	4735.00893914127
23	CM30b51	Plot04	-0.631442670079029	-0.632033692319895	3.05603661365703	3.05562753989629	4312.97769572033
24	CM30b51	Plot05	-0.631442670079029	-0.632077792775835	3.05603661365703	3.05564125818421	4528.21802637874
25	CM30b51	Plot06	-0.631442670079029	-0.632045028582452	3.05603661365703	3.05565155737213	4318.18045045883
26	CM30b51	Plot07	-0.631442670079029	-0.632014787960635	3.05603661365703	3.05570230980145	4029.89424515653
27	CM30b51	Plot08	-0.631442670079029	-0.631984535645111	3.05603661365703	3.05570472010114	3850.9441625271
28	CM30b58	CM30b58	-0.63214798450783	-0.63214798450783	3.05523488270249	3.05523488270249	0.134258785931453
29	CM30b58	CM30b60	-0.63214798450783	-0.631512483249108	3.05523488270249	3.05614133341215	6173.27643748571
30	CM30b58	CM30c	-0.63214798450783	-0.631879321961813	3.05523488270249	3.05542450399908	1969.72851951041
31	CM30b58	CM30c28	-0.63214798450783	-0.631844354988381	3.05523488270249	3.05538126870285	2075.62855574616
32	CM30b58	CM30c30	-0.63214798450783	-0.631833155385104	3.05523488270249	3.0555743073541	2658.4701492694
33	CM30b58	CM30c35	-0.63214798450783	-0.631923972720067	3.05523488270249	3.05527989125324	1445.80989788379
34	CM30b58	CM30c37	-0.63214798450783	-0.631921129753248	3.05523488270249	3.05547238361645	1891.89894131664
35	CM30b58	CM30c39	-0.63214798450783	-0.631917920965419	3.05523488270249	3.0556668063138	2660.40329724584
36	CM30b58	CM30c44	-0.63214798450783	-0.632002277789622	3.05523488270249	3.05538288662306	1200.20586104329
37	CM30b58	CM30c46	-0.63214798450783	-0.631995644316734	3.05523488270249	3.0555756791829	2002.6489916429
38	CM30b58	CM30c51	-0.63214798450783	-0.632082163778414	3.05523488270249	3.05528422316045	490.068477286259
39	CM30b58	CM30c53	-0.63214798450783	-0.632071728280283	3.05523488270249	3.05547906124616	1345.82949680124
40	CM30b58	CM30c60	-0.63214798450783	-0.632158008980922	3.05523488270249	3.05538386575277	768.40925792893
41	CM30b58	CM30c62	-0.63214798450783	-0.63214505793974	3.05523488270249	3.05557806679331	1764.0217183491
42	CM30b58	CM30d12	-0.63214798450783	-0.6316718243049	3.05523488270249	3.05614667761032	5583.35292759081
43	CM30b58	CM30d3	-0.63214798450783	-0.631594282293293	3.05523488270249	3.05604717813499	5466.50554896816
44	CM30b58	CM31a5	-0.63214798450783	-0.632214390097078	3.05523488270249	3.05548980374771	1376.83988350595
45	CM30b58	LB1	-0.63214798450783	-0.631794998124332	3.05523488270249	3.05564278883796	3074.77569705037
46	CM30b58	LB5	-0.63214798450783	-0.631692756038619	3.05523488270249	3.05592190363727	4570.01363491907
47	CM30b58	Plot01	-0.63214798450783	-0.632239483393866	3.05523488270249	3.05554503818255	1697.3477911483
48	CM30b58	Plot02	-0.63214798450783	-0.632129024123501	3.05523488270249	3.05555423083172	1645.85784157689
49	CM30b58	Plot03	-0.63214798450783	-0.632101964538778	3.05523488270249	3.05561148810316	1957.81319277178
50	CM30b58	Plot04	-0.63214798450783	-0.632033692319895	3.05523488270249	3.05562753989629	2145.62557432723
