Subplot	Plot	Latitude	Longitude	Elevation	Slope	Slope_aspect_deg	Slope_aspect_rad	Northness	Eastness	Physiography	Elev.group	ForestType	Forest.code	pH	EC	Organic-C	Total-N	C/N-ratio	NO3-N	NH4-N	Olsen-P	mean_T_surface	mean_T_10cm	mean_T_surface_12pm	mean_T_10cm_12pm
CM30c51-I	CM30c51	-36.21564029	175.0548912	67	25	100	1.745329252	-0.1736481777	0.9848077530	Face	Lower	VS2: Kanuka scrub/forest	VS2	5.7	0.07796	3.967698	0.227923	17.408072	0.489268	0.796483	36.672082	15.19626984	15.60711676	15.76674862	15.96353039
CM30c53-B	CM30c53	-36.21504238	175.0660546	155	45	125	2.181661565	-0.5735764364	0.8191520443	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.13	0.453253	44.349398	1.036735	42.777952	0	7.14544	19.561446	14.50683364	16.25153754	14.94347514	16.15683425
CM30c53-I	CM30c53	-36.21504238	175.0660546	155	45	125	2.181661565	-0.5735764364	0.8191520443	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.58	0.42233	34.71394	0.875516	39.649682	0.599038	4.441592	24.322279	14.50683364	16.25153754	14.94347514	16.15683425
CM30c60-A	CM30c60	-36.2199859	175.0606003	51	30	170	2.967059728	-0.9848077530	0.1736481777	Gully	Lower	VS2: Kanuka scrub/forest	VS2	5.3	0.099775	3.663413	0.238869	15.336477	0.604743	0.85794	3.3583	15.214662	15.56034426	15.59149448	15.52261326
CM30c60-B	CM30c60	-36.2199859	175.0606003	51	30	170	2.967059728	-0.9848077530	0.1736481777	Gully	Lower	VS2: Kanuka scrub/forest	VS2	4.75	0.174052	18.79353	0.764548	24.581234	3.070894	3.465619	8.058832	15.214662	15.56034426	15.59149448	15.52261326
CM30c62-D	CM30c62	-36.21924386	175.0717272	99	38	102	1.780235837	-0.2079116908	0.9781476007	Face	Lower	VS5: Broadleaved species scrub/forest	VS5	5.08	0.081023	3.017446	0.145099	20.795775	0.376019	1.177665	1.634918	15.76066219	15.90426871	16.29795304	15.87869061
CM30c62-M	CM30c62	-36.21924386	175.0717272	99	38	102	1.780235837	-0.2079116908	0.9781476007	Face	Lower	VS5: Broadleaved species scrub/forest	VS5	5.04	0.115373	5.186904	0.211227	24.556041	0.468129	2.480156	2.459706	15.76066219	15.90426871	16.29795304	15.87869061
CM30c-O	CM30c	-36.20401831	175.0629287	283	33	240	4.188790205	-0.5000000000	-0.8660254038	Face	Mid	MF20: Hard beech forest	MF20	4.99	0.144863	7.872603	0.274314	28.699248	3.205579	4.519202	1.614946	14.0077244	13.68202497	13.99110497	13.54629006
CM30c-P	CM30c	-36.20401831	175.0629287	283	33	240	4.188790205	-0.5000000000	-0.8660254038	Face	Mid	MF20: Hard beech forest	MF20	5.3	0.120936	7.060023	0.323537	21.821383	0.472859	5.89222	2.943316	14.0077244	13.68202497	13.99110497	13.54629006
CM30d12-H	CM30d12	-36.19212957	175.1043062	371	22	58	1.012290966	0.5299192642	0.8480480962	Gully	Upper	WF11: Kauri, podocarp, broadleaved forest	WF11	4.96	0.155423	24.653626	0.85062	28.983136	0.549894	5.448668	5.245452	12.87306452	13.90983961	13.7913453	13.976
CM30d12-L	CM30d12	-36.19212957	175.1043062	371	22	58	1.012290966	0.5299192642	0.8480480962	Gully	Upper	WF11: Kauri, podocarp, broadleaved forest	WF11	5.26	0.096909	8.234271	0.414932	19.844884	0.495205	4.962931	2.076216	12.87306452	13.90983961	13.7913453	13.976
CM30d3-D	CM30d3	-36.18768674	175.0986053	518	25	180	3.141592654	-1.0000000000	0.0000000000	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	5.31	0.183071	17.453311	0.944589	18.477157	45.925504	10.582521	4.741589	12.48221523	12.21431894	12.76827624	12.16677348
CM30d3-L	CM30d3	-36.18768674	175.0986053	518	25	180	3.141592654	-1.0000000000	0.0000000000	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	5.07	0.091473	9.445264	0.454572	20.778361	0.418765	5.768925	1.272096	12.48221523	12.21431894	12.76827624	12.16677348
